Year3-4_Q3/4314985,Year4-5_Q2/4673805,Year4-5_Q3/4347315,Year0-1_Q4/4693699,Year4-5_Q4/4563575,Year3-4_Q4/4517565,Year4-5_Q2/4461112,Year0-1_Q3/4721610,Year4-5_Q2/4523323,Year3-4_Q1/4854545,Year4-5_Q1/4708866,Year3-4_Q3/4633370,Year3-4_Q1/4445466,Year1-2_Q4/4634156,IXI402,IXI294,IXI653,IXI631,IXI588,IXI259,IXI334,IXI618,IXI314,IXI464,IXI626,IXI173,IXI572,IXI452,IXI274,IXI204,IXI183,IXI218,IXI194,IXI085,IXI536,IXI353,IXI468,IXI170,IXI023,IXI517,IXI504,IXI193,IXI021,IXI062,IXI426,IXI403,IXI077,IXI222,IXI455,IXI017,IXI404,IXI270,IXI037,IXI278,IXI304,IXI180,IXI069,IXI191,IXI120,IXI200,IXI400,IXI185,IXI392,IXI141,IXI375,IXI039,IXI276,IXI068,IXI144,IXI100,IXI057,IXI332,IXI420,IXI433,IXI040,IXI307,IXI284,IXI484,IXI636,IXI462,IXI313,IXI219,IXI329,1005_v3,1011_v1,1013_v1,1016_v3,1017_v2,1017_v3,1024_v2,1026_v2,1029_v1,1030_v3,1040_v2,1043_v1,1043_v3,1044_v2,1052_v1,1057_v1,1065_v1,1072_v3,1077_v1,1080_v2,1081_v2,1092_v2,1098_v3,1099_v1,1101_v2,1103_v2,1103_v3,1105_v2,1116_v1,1118_v2,1131_v1,1133_v2,1148_v1,1150_v1,1153_v2,1158_v1,1173_v2,1175_v1,1175_v2,1178_v1,1184_v1,1189_v1,1190_v1,1190_v3,1192_v2,1195_v3,1196_v3,1207_v3,1212_v3,1213_v2,1219_v1,1220_v2,1232_v2,1235_v1,1239_v2,1240_v2,1242_v2,1243_v2,1244_v1,1254_v1,1262_v1,1263_v3,1264_v1,1264_v2,1265_v1,1268_v1,1268_v3,1275_v1,1275_v3,1291_v2,1291_v3,1309_v2,1310_v2,1316_v3,1323_v1,1330_v2,1339_v3,1345_v2,1346_v1,1349_v1,1350_v1,1354_v2,1359_v3,1368_v1,1370_v1,1379_v1,1383_v2,1389_v1,1395_v2,1402_v1,1403_v2,1415_v3,1418_v1,1418_v2,1427_v1,1428_v1,1430_v1,1431_v3,1435_v2,1437_v4,1442_v2,1445_v2,1446_v3,1447_v2,1448_v2,1453_v5,1455_v4,1460_v6,1470_v2,1488_v2,1489_v2,1493_v4,1494_v3,1502_v6,1506_v1,1507_v3,1509_v3,1509_v4,1509_v5,1511_v3,1515_v8,1522_v2,1525_v2,1528_v7,1533_v3,1534_v1,1543_v5,1543_v6,1555_v6
0.021,0.026,0.013,0.02,0.014,0.013,0.019,0.032,0.013,0.019,0.01,0.03,0.008,0.026,0.022,0.017,0.02,0.017,0.018,0.019,0.012,0.019,0.015,0.032,0.018,0.017,0.012,0.016,0.025,0.03,0.012,0.016,0.017,0.013,0.023,0.015,0.013,0.018,0.019,0.015,0.017,0.016,0.016,0.021,0.014,0.016,0.018,0.017,0.012,0.019,0.018,0.023,0.017,0.017,0.016,0.013,0.024,0.02,0.013,0.011,0.017,0.016,0.014,0.024,0.02,0.012,0.018,0.021,0.016,0.012,0.011,0.019,0.024,0.018,0.018,0.022,0.015,0.015,0.027,0.025,0.017,0.015,0.016,0.019,0.053,0.018,0.019,0.025,0.024,0.016,0.023,0.028,0.023,0.021,0.019,0.024,0.024,0.017,0.023,0.054,0.025,0.022,0.014,0.02,0.02,0.021,0.033,0.024,0.02,0.014,0.021,0.023,0.023,0.027,0.021,0.022,0.017,0.028,0.065,0.022,0.018,0.017,0.016,0.021,0.012,0.052,0.013,0.017,0.018,0.018,0.015,0.02,0.02,0.024,0.022,0.019,0.041,0.028,0.015,0.023,0.019,0.02,0.074,0.014,0.017,0.017,0.015,0.042,0.035,0.022,0.022,0.025,0.019,0.027,0.019,0.021,0.015,0.017,0.02,0.019,0.024,0.023,0.021,0.025,0.019,0.015,0.074,0.033,0.016,0.022,0.019,0.019,0.019,0.019,0.023,0.018,0.037,0.021,0.02,0.015,0.021,0.07,0.053,0.066,0.032,0.031,0.087,0.028,0.032,0.021,0.047,0.044,0.049,0.028,0.063,0.051,0.027,0.085,0.0en17,0.05,0.033,0.029,0.055,0.049,0.042,0.096,0.047,0.083,0.061,0.053,0.051,0.055
0.028,0.033,0.022,0.034,0.021,0.018,0.013,0.041,0.029,0.021,0.025,0.033,0.015,0.022,0.012,0.024,0.027,0.018,0.02,0.017,0.019,0.016,0.032,0.016,0.018,0.019,0.023,0.02,0.042,0.024,0.024,0.018,0.018,0.013,0.018,0.027,0.019,0.016,0.02,0.019,0.023,0.022,0.023,0.018,0.024,0.015,0.02,0.028,0.024,0.019,0.022,0.024,0.019,0.019,0.019,0.019,0.019,0.024,0.022,0.014,0.026,0.043,0.015,0.018,0.021,0.018,0.019,0.021,0.016,0.018,0.022,0.018,0.014,0.015,0.024,0.024,0.026,0.024,0.03,0.037,0.014,0.028,0.023,0.024,0.021,0.013,0.037,0.022,0.019,0.032,0.021,0.026,0.024,0.036,0.028,0.032,0.031,0.02,0.019,0.023,0.027,0.022,0.024,0.031,0.019,0.022,0.027,0.032,0.031,0.02,0.017,0.026,0.024,0.022,0.017,0.021,0.022,0.021,0.042,0.027,0.021,0.017,0.025,0.024,0.025,0.031,0.021,0.016,0.018,0.025,0.032,0.015,0.02,0.021,0.02,0.024,0.023,0.028,0.019,0.017,0.022,0.021,0.025,0.013,0.024,0.024,0.019,0.039,0.023,0.02,0.03,0.031,0.022,0.029,0.023,0.021,0.022,0.022,0.025,0.022,0.021,0.027,0.029,0.018,0.02,0.019,0.04,0.028,0.023,0.024,0.023,0.026,0.026,0.022,0.022,0.037,0.041,0.021,0.026,0.029,0.029,0.038,0.034,0.043,0.04,0.035,0.036,0.04,0.039,0.026,0.061,0.052,0.026,0.005,0.056,0.056,0.041,0.044,0.09,0.064,0.045,0.042,0.06,0.04,0.039,0.03,0.039,0.056,0.084,0.046,0.056,0.036
0.034,0.045,0.021,0.037,0.022,0.027,0.023,0.041,0.019,0.024,0.023,0.041,0.026,0.031,0.026,0.025,0.023,0.019,0.027,0.021,0.03,0.02,0.021,0.035,0.024,0.024,0.023,0.026,0.032,0.04,0.022,0.025,0.022,0.016,0.031,0.024,0.029,0.023,0.026,0.022,0.023,0.025,0.021,0.022,0.023,0.022,0.024,0.021,0.024,0.024,0.024,0.031,0.019,0.024,0.019,0.019,0.02,0.022,0.021,0.023,0.019,0.021,0.022,0.023,0.026,0.019,0.018,0.02,0.024,0.021,0.021,0.022,0.027,0.018,0.021,0.026,0.021,0.027,0.037,0.032,0.024,0.025,0.024,0.024,0.032,0.024,0.03,0.03,0.027,0.036,0.027,0.034,0.026,0.049,0.028,0.038,0.023,0.024,0.03,0.036,0.032,0.045,0.037,0.024,0.034,0.03,0.026,0.03,0.041,0.023,0.025,0.028,0.026,0.029,0.023,0.029,0.026,0.023,0.041,0.025,0.03,0.025,0.023,0.02,0.029,0.043,0.023,0.022,0.022,0.03,0.031,0.022,0.022,0.022,0.029,0.028,0.037,0.022,0.023,0.022,0.024,0.025,0.04,0.025,0.027,0.034,0.033,0.044,0.03,0.029,0.024,0.028,0.028,0.031,0.028,0.025,0.03,0.022,0.025,0.027,0.022,0.033,0.029,0.028,0.029,0.023,0.038,0.032,0.021,0.025,0.027,0.027,0.029,0.027,0.026,0.031,0.046,0.023,0.032,0.027,0.038,0.057,0.046,0.033,0.038,0.042,0.065,0.037,0.039,0.03,0.043,0.055,0.036,0.058,0.078,0.04,0.039,0.044,0.082,0.053,0.048,0.046,0.054,0.034,0.037,0.05,0.041,0.039,0.05,0.045,0.048,0.041
0.05,0.055,0.03,0.058,0.031,0.04,0.033,0.101,0.031,0.038,0.033,0.07,0.04,0.041,0.032,0.036,0.032,0.029,0.033,0.024,0.03,0.031,0.035,0.04,0.038,0.029,0.03,0.03,0.038,0.03,0.032,0.031,0.029,0.033,0.029,0.026,0.032,0.036,0.031,0.036,0.029,0.027,0.029,0.028,0.033,0.033,0.032,0.028,0.025,0.035,0.032,0.036,0.029,0.032,0.032,0.028,0.028,0.034,0.031,0.034,0.027,0.028,0.029,0.031,0.037,0.029,0.027,0.03,0.032,0.032,0.032,0.033,0.029,0.032,0.032,0.038,0.031,0.033,0.034,0.041,0.032,0.026,0.036,0.046,0.043,0.047,0.041,0.034,0.038,0.056,0.043,0.048,0.042,0.054,0.04,0.048,0.042,0.034,0.04,0.044,0.049,0.057,0.056,0.041,0.043,0.053,0.034,0.053,0.053,0.04,0.048,0.038,0.039,0.043,0.035,0.043,0.035,0.037,0.046,0.05,0.037,0.044,0.041,0.035,0.039,0.05,0.036,0.042,0.035,0.051,0.036,0.036,0.043,0.039,0.031,0.043,0.045,0.041,0.038,0.036,0.039,0.038,0.057,0.038,0.036,0.034,0.036,0.048,0.034,0.036,0.042,0.056,0.047,0.045,0.039,0.041,0.047,0.039,0.033,0.044,0.038,0.047,0.043,0.044,0.041,0.042,0.055,0.04,0.032,0.039,0.046,0.031,0.041,0.04,0.033,0.039,0.053,0.043,0.045,0.04,0.048,0.059,0.048,0.059,0.056,0.061,0.064,0.051,0.05,0.043,0.054,0.068,0.06,0.036,0.045,0.052,0.059,0.055,0.066,0.074,0.057,0.061,0.065,0.055,0.052,0.06,0.047,0.058,0.073,0.05,0.072,0.053
0.06,0.034,0.031,0.051,0.028,0.036,0.032,0.041,0.02,0.034,0.019,0.039,0.031,0.038,0.018,0.04,0.023,0.028,0.045,0.036,0.028,0.032,0.016,0.059,0.03,0.019,0.022,0.033,0.036,0.043,0.023,0.032,0.019,0.02,0.029,0.033,0.02,0.022,0.021,0.064,0.026,0.02,0.018,0.032,0.018,0.018,0.026,0.023,0.049,0.025,0.019,0.031,0.019,0.038,0.018,0.022,0.018,0.027,0.035,0.017,0.024,0.026,0.027,0.024,0.02,0.032,0.026,0.016,0.022,0.026,0.028,0.021,0.017,0.02,0.021,0.024,0.031,0.041,0.028,0.036,0.037,0.016,0.043,0.032,0.047,0.044,0.057,0.051,0.037,0.047,0.046,0.055,0.03,0.047,0.06,0.039,0.027,0.029,0.034,0.057,0.049,0.063,0.072,0.031,0.066,0.038,0.031,0.044,0.073,0.032,0.049,0.046,0.045,0.038,0.029,0.047,0.058,0.026,0.081,0.028,0.048,0.027,0.023,0.044,0.041,0.043,0.037,0.035,0.027,0.037,0.029,0.044,0.028,0.048,0.033,0.043,0.037,0.054,0.043,0.042,0.037,0.027,0.051,0.026,0.033,0.034,0.04,0.077,0.048,0.041,0.034,0.041,0.036,0.051,0.029,0.031,0.045,0.029,0.029,0.042,0.033,0.052,0.037,0.048,0.038,0.031,0.059,0.039,0.023,0.036,0.047,0.044,0.049,0.028,0.046,0.046,0.071,0.049,0.065,0.056,0.057,0.112,0.069,0.079,0.075,0.09,0.102,0.066,0.069,0.072,0.092,0.117,0.072,0.092,0.076,0.095,0.085,0.062,0.093,0.097,0.089,0.065,0.133,0.065,0.065,0.08,0.051,0.073,0.077,0.112,0.078,0.076
0.052,0.053,0.026,0.047,0.025,0.031,0.028,0.05,0.026,0.034,0.025,0.047,0.035,0.038,0.026,0.032,0.026,0.028,0.036,0.027,0.029,0.028,0.032,0.048,0.024,0.028,0.031,0.036,0.041,0.037,0.021,0.022,0.03,0.026,0.034,0.028,0.024,0.027,0.025,0.034,0.032,0.026,0.024,0.024,0.029,0.024,0.025,0.027,0.031,0.025,0.024,0.032,0.024,0.028,0.024,0.03,0.029,0.028,0.025,0.028,0.025,0.027,0.03,0.026,0.029,0.029,0.027,0.023,0.03,0.023,0.026,0.035,0.031,0.035,0.03,0.03,0.031,0.028,0.035,0.041,0.028,0.024,0.032,0.04,0.037,0.038,0.034,0.037,0.036,0.039,0.038,0.036,0.029,0.045,0.038,0.038,0.032,0.032,0.033,0.04,0.033,0.041,0.044,0.044,0.037,0.032,0.042,0.037,0.032,0.027,0.035,0.034,0.04,0.044,0.033,0.037,0.032,0.035,0.047,0.04,0.041,0.039,0.03,0.035,0.034,0.042,0.034,0.031,0.037,0.043,0.04,0.032,0.038,0.035,0.032,0.038,0.036,0.037,0.039,0.032,0.036,0.036,0.052,0.03,0.037,0.035,0.039,0.05,0.033,0.029,0.042,0.034,0.035,0.04,0.038,0.036,0.041,0.033,0.031,0.036,0.031,0.036,0.044,0.037,0.04,0.03,0.053,0.042,0.028,0.034,0.045,0.034,0.035,0.034,0.052,0.032,0.047,0.031,0.038,0.032,0.041,0.066,0.055,0.057,0.047,0.059,0.088,0.06,0.052,0.038,0.08,0.082,0.046,0.105,0.082,0.055,0.058,0.064,0.094,0.063,0.048,0.051,0.065,0.045,0.059,0.06,0.051,0.054,0.064,0.049,0.056,0.057
0.045,0.051,0.023,0.036,0.025,0.023,0.024,0.036,0.024,0.04,0.035,0.035,0.024,0.045,0.028,0.028,0.026,0.025,0.025,0.022,0.029,0.027,0.026,0.034,0.026,0.02,0.024,0.029,0.03,0.027,0.021,0.025,0.022,0.026,0.026,0.024,0.021,0.023,0.026,0.023,0.025,0.024,0.021,0.025,0.021,0.025,0.026,0.022,0.028,0.024,0.026,0.027,0.023,0.024,0.025,0.022,0.023,0.025,0.025,0.027,0.024,0.026,0.021,0.025,0.027,0.023,0.024,0.027,0.026,0.022,0.023,0.027,0.027,0.022,0.024,0.027,0.026,0.023,0.027,0.028,0.022,0.026,0.032,0.03,0.044,0.029,0.031,0.03,0.032,0.034,0.033,0.033,0.028,0.041,0.032,0.039,0.03,0.025,0.028,0.04,0.044,0.041,0.036,0.029,0.038,0.032,0.028,0.033,0.039,0.028,0.027,0.03,0.028,0.035,0.028,0.035,0.029,0.028,0.056,0.031,0.028,0.029,0.032,0.027,0.029,0.058,0.028,0.026,0.028,0.031,0.027,0.027,0.029,0.025,0.025,0.029,0.038,0.031,0.026,0.026,0.028,0.028,0.036,0.025,0.026,0.027,0.026,0.043,0.033,0.028,0.026,0.029,0.028,0.031,0.03,0.031,0.031,0.026,0.028,0.031,0.027,0.033,0.029,0.03,0.03,0.027,0.05,0.038,0.024,0.025,0.031,0.023,0.025,0.028,0.028,0.028,0.047,0.027,0.029,0.026,0.038,0.071,0.048,0.048,0.038,0.043,0.074,0.045,0.042,0.028,0.052,0.065,0.039,0.028,0.055,0.066,0.042,0.068,0.056,0.052,0.056,0.041,0.058,0.036,0.052,0.057,0.041,0.05,0.066,0.048,0.05,0.045
0.048,0.048,0.03,0.043,0.023,0.027,0.028,0.042,0.024,0.031,0.028,0.041,0.028,0.04,0.033,0.034,0.028,0.028,0.03,0.027,0.04,0.029,0.028,0.054,0.024,0.027,0.032,0.033,0.036,0.033,0.024,0.028,0.028,0.027,0.037,0.03,0.028,0.026,0.031,0.029,0.031,0.025,0.021,0.028,0.025,0.027,0.025,0.022,0.029,0.031,0.031,0.031,0.028,0.029,0.024,0.026,0.025,0.032,0.028,0.031,0.026,0.024,0.031,0.026,0.028,0.033,0.029,0.032,0.028,0.026,0.023,0.036,0.027,0.03,0.027,0.034,0.028,0.03,0.035,0.038,0.03,0.033,0.035,0.038,0.052,0.045,0.039,0.032,0.03,0.038,0.046,0.037,0.029,0.045,0.031,0.035,0.029,0.026,0.039,0.057,0.036,0.052,0.04,0.03,0.032,0.032,0.047,0.042,0.037,0.029,0.034,0.031,0.037,0.044,0.029,0.039,0.038,0.036,0.056,0.036,0.04,0.039,0.031,0.03,0.032,0.063,0.029,0.028,0.031,0.04,0.029,0.027,0.029,0.032,0.029,0.034,0.052,0.033,0.038,0.035,0.037,0.036,0.057,0.026,0.03,0.032,0.032,0.051,0.053,0.029,0.036,0.038,0.031,0.047,0.032,0.032,0.031,0.029,0.028,0.031,0.029,0.052,0.037,0.036,0.035,0.026,0.057,0.059,0.025,0.033,0.037,0.034,0.036,0.029,0.037,0.031,0.055,0.033,0.038,0.029,0.04,0.081,0.059,0.061,0.061,0.068,0.09,0.058,0.05,0.031,0.061,0.068,0.051,0.105,0.08,0.062,0.053,0.075,0.079,0.057,0.05,0.05,0.079,0.058,0.062,0.058,0.054,0.069,0.067,0.054,0.054,0.044
0.061,0.06,0.027,0.025,0.029,0.024,0.025,0.051,0.022,0.026,0.029,0.046,0.029,0.031,0.03,0.027,0.025,0.028,0.033,0.029,0.035,0.026,0.027,0.028,0.034,0.026,0.031,0.028,0.035,0.037,0.026,0.029,0.031,0.027,0.028,0.028,0.024,0.027,0.029,0.032,0.027,0.026,0.027,0.029,0.028,0.024,0.024,0.025,0.028,0.028,0.027,0.034,0.026,0.032,0.026,0.025,0.025,0.032,0.029,0.032,0.024,0.03,0.034,0.028,0.027,0.029,0.027,0.027,0.029,0.028,0.031,0.027,0.026,0.027,0.028,0.03,0.03,0.027,0.028,0.019,0.03,0.027,0.027,0.028,0.031,0.035,0.037,0.034,0.033,0.045,0.028,0.036,0.024,0.039,0.032,0.037,0.031,0.03,0.035,0.03,0.036,0.036,0.037,0.033,0.039,0.029,0.037,0.035,0.034,0.03,0.03,0.03,0.023,0.036,0.023,0.035,0.03,0.033,0.046,0.038,0.03,0.034,0.031,0.027,0.04,0.038,0.027,0.035,0.028,0.032,0.025,0.024,0.024,0.021,0.025,0.033,0.037,0.034,0.027,0.031,0.026,0.028,0.033,0.028,0.034,0.031,0.03,0.047,0.039,0.035,0.025,0.037,0.035,0.032,0.03,0.037,0.031,0.029,0.027,0.033,0.031,0.033,0.032,0.027,0.033,0.029,0.046,0.038,0.029,0.03,0.033,0.038,0.035,0.028,0.029,0.036,0.044,0.029,0.03,0.031,0.037,0.049,0.055,0.053,0.044,0.047,0.048,0.047,0.044,0.036,0.072,0.066,0.044,0.036,0.067,0.048,0.044,0.057,0.044,0.052,0.042,0.044,0.049,0.053,0.048,0.044,0.044,0.037,0.042,0.048,0.043,0.056
0.038,0.048,0.027,0.047,0.03,0.027,0.027,0.046,0.03,0.042,0.029,0.043,0.035,0.038,0.03,0.031,0.027,0.028,0.035,0.03,0.033,0.03,0.029,0.044,0.032,0.026,0.031,0.033,0.034,0.032,0.024,0.027,0.029,0.031,0.032,0.029,0.026,0.028,0.031,0.03,0.033,0.029,0.025,0.03,0.033,0.032,0.03,0.028,0.034,0.028,0.036,0.033,0.03,0.031,0.031,0.027,0.032,0.029,0.034,0.03,0.03,0.029,0.029,0.03,0.032,0.026,0.025,0.03,0.033,0.027,0.029,0.031,0.029,0.034,0.03,0.029,0.029,0.032,0.034,0.042,0.026,0.029,0.032,0.042,0.047,0.043,0.043,0.034,0.035,0.051,0.047,0.041,0.04,0.053,0.041,0.047,0.035,0.032,0.037,0.041,0.048,0.048,0.046,0.045,0.046,0.037,0.056,0.043,0.041,0.033,0.04,0.034,0.038,0.047,0.038,0.039,0.039,0.041,0.062,0.043,0.043,0.045,0.042,0.037,0.04,0.05,0.042,0.033,0.039,0.043,0.039,0.035,0.046,0.036,0.033,0.04,0.04,0.038,0.04,0.04,0.039,0.045,0.055,0.035,0.044,0.037,0.04,0.07,0.042,0.034,0.04,0.047,0.037,0.04,0.033,0.039,0.043,0.033,0.035,0.042,0.035,0.041,0.048,0.042,0.037,0.036,0.051,0.049,0.034,0.042,0.057,0.034,0.039,0.041,0.047,0.034,0.056,0.039,0.038,0.031,0.046,0.073,0.062,0.059,0.063,0.058,0.052,0.058,0.057,0.037,0.064,0.082,0.061,0.053,0.075,0.066,0.057,0.062,0.066,0.066,0.057,0.053,0.06,0.056,0.054,0.06,0.064,0.062,0.066,0.059,0.066,0.055
