Year3-4_Q3/4314985,Year4-5_Q2/4673805,Year4-5_Q3/4347315,Year0-1_Q4/4693699,Year4-5_Q4/4563575,Year3-4_Q4/4517565,Year4-5_Q2/4461112,Year0-1_Q3/4721610,Year4-5_Q2/4523323,Year3-4_Q1/4854545,Year4-5_Q1/4708866,Year3-4_Q3/4633370,Year3-4_Q1/4445466,Year1-2_Q4/4634156,IXI402,IXI294,IXI653,IXI631,IXI588,IXI259,IXI334,IXI618,IXI314,IXI464,IXI626,IXI173,IXI572,IXI452,IXI274,IXI204,IXI183,IXI218,IXI194,IXI085,IXI536,IXI353,IXI468,IXI170,IXI023,IXI517,IXI504,IXI193,IXI021,IXI062,IXI426,IXI403,IXI077,IXI222,IXI455,IXI017,IXI404,IXI270,IXI037,IXI278,IXI304,IXI180,IXI069,IXI191,IXI120,IXI200,IXI400,IXI185,IXI392,IXI141,IXI375,IXI039,IXI276,IXI068,IXI144,IXI100,IXI057,IXI332,IXI420,IXI433,IXI040,IXI307,IXI284,IXI484,IXI636,IXI462,IXI313,IXI219,IXI329,1005_v3,1011_v1,1013_v1,1016_v3,1017_v2,1017_v3,1024_v2,1026_v2,1029_v1,1030_v3,1040_v2,1043_v1,1043_v3,1044_v2,1052_v1,1057_v1,1065_v1,1072_v3,1077_v1,1080_v2,1081_v2,1092_v2,1098_v3,1099_v1,1101_v2,1103_v2,1103_v3,1105_v2,1116_v1,1118_v2,1131_v1,1133_v2,1148_v1,1150_v1,1153_v2,1158_v1,1173_v2,1175_v1,1175_v2,1178_v1,1184_v1,1189_v1,1190_v1,1190_v3,1192_v2,1195_v3,1196_v3,1207_v3,1212_v3,1213_v2,1219_v1,1220_v2,1232_v2,1235_v1,1239_v2,1240_v2,1242_v2,1243_v2,1244_v1,1254_v1,1262_v1,1263_v3,1264_v1,1264_v2,1265_v1,1268_v1,1268_v3,1275_v1,1275_v3,1291_v2,1291_v3,1309_v2,1310_v2,1316_v3,1323_v1,1330_v2,1339_v3,1345_v2,1346_v1,1349_v1,1350_v1,1354_v2,1359_v3,1368_v1,1370_v1,1379_v1,1383_v2,1389_v1,1395_v2,1402_v1,1403_v2,1415_v3,1418_v1,1418_v2,1427_v1,1428_v1,1430_v1,1431_v3,1435_v2,1437_v4,1442_v2,1445_v2,1446_v3,1447_v2,1448_v2,1453_v5,1455_v4,1460_v6,1470_v2,1488_v2,1489_v2,1493_v4,1494_v3,1502_v6,1506_v1,1507_v3,1509_v3,1509_v4,1509_v5,1511_v3,1515_v8,1522_v2,1525_v2,1528_v7,1533_v3,1534_v1,1543_v5,1543_v6,1555_v6
1062,1256,3086,1589,4130,2297,3023,670,3774,2341,3169,1066,2725,3050,2255,1937,2729,2016,2174,1953,2106,2113,2252,2276,2762,2536,2223,1843,1554,1685,2796,2406,2355,2544,2321,1912,2060,3062,2806,2790,2291,2174,2388,2462,2340,2534,1865,2017,1610,2313,1742,1917,2444,2962,1716,2307,1873,2570,1708,1657,2088,2003,2449,1831,1750,2677,1730,2632,2077,2573,2061,2333,2370,1754,2127,3125,1923,2059,2795,2249,2503,2328,1719,2486,3859,2524,2620,2246,2365,2747,2829,3009,2475,2650,3011,3245,3104,2602,1809,3027,4285,2776,2359,3100,3589,3316,2898,3275,3682,3447,2633,2705,2288,3214,2971,2658,3724,3984,2302,2669,3106,3345,2549,2803,3254,2211,2555,2934,2725,2451,2403,2905,2503,2232,3654,3108,3830,2442,2133,4141,2789,2523,2260,2114,2654,2921,2870,3118,4258,3388,3872,3864,2998,3026,2251,1939,3038,2556,2722,2506,3502,2680,3862,3400,2627,1808,2061,3068,3450,3365,2156,3383,2877,3067,2477,3564,3168,4269,3306,3019,2321,690,2372,2852,2484,1102,998,2530,3457,2311,1491,1110,2038,422,1048,1693,981,1884,163,973,1733,1802,559,3100,1741,1171,1936,1966,2645,2728,3002,2213
913,855,1566,952,3041,1751,1818,15,2518,2083,1987,746,1361,1038,737,1491,2299,1165,964,1340,1222,1436,1498,1027,1418,1226,1755,1216,1388,1392,1685,1613,1938,1767,1034,1451,1116,1285,1417,2189,2222,1702,2573,1862,2373,1678,1646,1632,2004,1121,1510,1777,1669,1709,1012,2050,1348,1542,1848,1103,1953,2004,1431,1202,1231,2226,1704,2378,1346,1702,715,1069,711,562,1866,1538,800,1985,2020,1833,1676,1291,1023,2600,2181,1270,1499,1718,1712,2759,1929,2899,2527,1819,2118,2397,2083,1236,1473,2053,2264,1944,1455,3143,1484,2148,2017,2503,2768,2764,1834,1984,1812,2100,1210,1209,1943,3195,1896,1991,1629,1529,1933,1421,2082,1408,1652,1532,1661,2128,1816,1901,1885,1989,2428,2428,2821,2241,1446,1329,1376,1916,2448,1101,2335,1931,1974,2015,2245,1960,3053,3327,2143,1999,3451,1502,2239,954,2178,2716,2240,2041,2755,1552,1917,1492,1767,3183,2659,2206,1988,2392,1994,1767,1817,3428,3180,1646,1625,2711,2361,1322,1166,1370,1653,1088,56,1724,1829,2043,1409,477,1098,2,1063,1722,1265,1265,138,1812,1762,1792,1827,2662,1156,865,1392,1398,1156,1886,1939,1752
4911,4126,7355,5798,8735,5643,9530,2458,6187,5190,7474,2887,6974,6365,4700,6010,6233,5027,5225,5564,5450,6544,9113,5767,6223,6038,5369,4585,4210,5065,6405,7246,6467,5135,4749,4396,6240,4888,7055,5939,6794,6189,6388,6711,6700,6581,6783,4449,5337,7504,5182,5968,5184,9120,4417,5292,3773,6795,4665,5338,6220,5859,5519,6407,5041,7022,5198,5889,6238,9152,7286,5159,4424,4415,4992,5007,5255,7046,4863,5089,7360,6008,4119,9013,11493,5930,9498,8559,8662,7834,10957,7496,4636,5991,6730,7691,7618,6231,6118,7511,10526,8192,5809,7564,8271,5095,6526,7287,7651,7632,7748,6580,7659,9468,6590,7278,8533,11296,7807,6762,7782,8487,7959,5989,8983,4433,4762,5305,6705,7400,5117,7563,7645,7033,8470,8411,8879,6096,7520,7543,8365,7636,7686,6392,7997,5972,6657,9110,7708,7667,8140,8828,9874,8434,7215,5225,7451,6660,6313,9813,6467,8491,9107,7107,7496,4435,7483,7091,10189,9373,7397,8552,9059,8525,6846,9408,8515,7461,8590,8264,9068,4310,4903,8179,6022,4566,2816,5291,5284,9903,5297,2144,5641,1009,2216,8039,5059,6750,1983,5488,6333,6174,7415,8067,5647,4620,5973,4706,4683,5848,6024,6195
2435,1410,2544,3266,4668,3248,4236,787,3951,3903,2588,2036,2761,3851,2234,3180,4023,2239,2967,2282,2687,2287,3716,2505,2214,2411,2142,1983,1813,2123,2746,3036,2186,2538,2370,2358,2538,2009,2121,2140,2051,2287,4426,2189,2645,2471,2906,2291,2194,2997,2653,3005,2903,2500,1762,2900,2179,2565,1951,3098,2366,2619,2037,3030,2024,2977,2789,1938,2296,3156,2913,2689,2400,2070,2583,2217,1725,3044,3189,2194,2534,2522,2464,4275,3202,3185,3260,2712,2904,3222,3816,3535,3909,2926,2919,3290,2735,3235,2800,4421,3975,4130,3519,4516,3268,3557,2870,3773,4674,3925,3456,3728,3476,3577,2267,3061,2736,3252,3640,2506,3003,3072,2722,2706,3623,5226,4659,2658,3136,2564,3100,2919,2602,2970,3688,3672,3427,3116,2584,3484,3804,3021,3183,3485,2427,2821,2876,2624,3267,3366,3808,3764,4067,3741,4175,2427,3487,3190,2142,3648,4076,2853,3355,2584,3970,2433,2219,2703,3946,3705,3077,2970,3353,2934,2735,4733,3711,3178,3427,3526,2947,3136,2654,5368,2707,4348,2180,4063,4361,3221,3306,2250,4002,439,2094,3662,3026,3204,2296,4007,3840,3706,2906,3128,3769,3432,3593,2971,3093,2966,3498,4036
1776,1370,1846,1330,3103,1360,1380,668,1554,1279,1310,926,1435,1279,1662,1423,2018,2011,1675,1656,1473,1932,1336,1920,2409,1837,1209,1262,1812,1936,1820,2178,1761,1770,1415,1500,2263,1666,2135,2049,2147,1929,1703,1739,1819,1472,2188,2156,1852,1756,1886,1815,2019,1775,1662,2480,1564,1500,1949,1534,1995,1456,2141,2294,1464,1491,1248,1337,2013,2177,1529,1819,1498,1376,1680,1701,1988,1671,1816,1210,1528,1382,1198,1813,1840,1616,1438,1608,1584,966,2112,1904,1726,1522,1354,2079,1704,1479,1793,1467,1482,1666,1332,1937,2170,2367,1814,1130,2179,2083,2365,1625,1489,1387,1354,1431,1829,1222,3097,1404,1637,1667,1988,1544,2016,2152,2299,1328,1076,1118,1425,1756,1883,1111,1499,1809,1665,1285,1933,2014,1834,1275,1378,1860,1262,1801,1547,2100,1667,1834,1748,2708,2251,1385,1512,1874,1143,1512,1372,2121,1429,1575,1448,1515,1660,1898,2734,2259,1790,3069,1403,1379,1398,1780,1293,2018,1615,2250,1680,1687,2204,1395,1312,1334,2111,1542,801,1291,2320,2425,1046,286,1737,975,650,1058,1378,907,974,228,1589,1839,851,1552,1109,784,1333,996,1195,2397,2219,1382
7439,6952,10679,7697,14556,8590,10302,3718,11103,8826,8658,4938,9021,9558,7563,9221,9929,5839,9478,6888,6429,9596,8321,7187,9705,10131,8568,6670,6862,8039,11038,9972,9306,7516,8352,8374,9463,8250,8555,7830,8260,8068,9490,8347,8991,8890,8584,7641,8642,9130,9453,7929,9775,10160,8228,9761,8356,8098,10129,7750,7269,9378,7839,8021,7501,10904,10601,7878,8685,10596,10731,7408,7770,7066,7783,7685,7419,8617,9809,8606,8991,8132,6930,11631,11308,8609,11746,9768,10188,9925,9549,10291,10404,9377,9623,11786,10425,10107,9238,10901,11932,9531,8762,11966,9939,13208,8578,11347,11303,12179,12039,10084,10198,11372,8708,8212,11512,13108,7794,9429,10845,10687,10349,9531,12661,10216,10646,9576,10056,10957,7744,9041,10180,8913,13474,13003,10882,10343,10073,10965,13292,11895,10442,8653,10313,11305,10783,8321,10884,10460,12362,13851,11605,9836,11084,9197,11059,11122,7769,12631,12377,10478,8877,10422,10487,9980,9404,10643,11904,12338,9541,10675,11153,13451,9052,15681,12270,12271,10245,11031,11226,4547,7272,9477,7079,5471,4203,9860,10851,10490,5220,4933,5301,4778,7942,6438,7179,5826,4304,5872,7775,9025,4737,8405,7297,5942,9274,8357,7292,9721,6754,8917
8152,9122,15567,12465,17378,14332,18873,2099,17062,11679,13286,5057,16336,9273,10269,8561,14240,9534,10719,9653,12045,9759,9990,10132,13508,9613,10986,8545,7836,9307,12067,11324,11866,12213,11405,10548,12977,12197,13123,11271,10070,9359,10462,11706,11983,12705,9763,9746,11353,13639,12748,11127,12374,14967,11071,11030,9983,12222,9807,11409,9515,10163,11362,11087,11272,14631,11892,11165,10862,13100,10817,10444,8365,10398,9782,11357,8135,11615,13101,9288,13172,11015,8469,15524,13779,14196,15660,14806,14969,16180,13025,12053,16084,11667,16667,16836,13384,11156,12129,19158,18588,16018,15455,14337,13915,12459,13431,17582,19652,18969,16386,10611,12941,16411,13427,11677,18400,17457,11046,14753,18825,19100,14270,15196,19753,10566,16520,16464,13667,14157,13034,14278,13319,12866,12998,17649,18063,12962,14371,16906,12797,14478,15237,14344,14949,15332,14967,14196,18097,19820,17803,18661,16874,15319,12768,11794,15232,13618,12135,15526,19369,14534,15067,14651,15727,13993,11519,16615,16572,15663,14258,10663,15306,12843,10861,18030,17434,15438,14900,17827,15376,8927,12363,15713,11829,8293,4653,13737,18199,15776,10050,7337,10347,1421,5581,13098,10267,9741,2233,9956,10435,11785,7244,16852,11167,10739,11496,13398,12808,12008,11944,11088
8084,7499,11566,7268,14087,8739,13321,4397,12494,11902,11269,4778,10798,12820,9909,9337,11421,10112,9529,8051,10110,10800,11694,11987,13399,8026,9886,8327,7956,8190,10990,12218,13192,12080,9957,7344,13548,12057,11492,11984,8461,10001,13129,12258,8654,11686,8550,8380,10208,13723,12874,11019,10584,12442,9801,11661,8544,9694,11190,7947,8614,6567,10837,7767,9197,13325,12009,9729,10776,10680,10324,9122,7638,9998,9124,11459,8492,11010,10883,7070,11118,9131,7867,14859,12401,15031,12591,13771,14365,11532,16587,11171,13221,8820,10420,13359,12358,11648,11085,14823,17414,10087,10895,12433,10447,12498,11236,10280,12983,12399,11492,11301,13077,11123,11772,11465,12840,16110,13030,12681,14149,14106,11502,13034,15588,9458,13644,12338,12492,10302,10516,15824,12070,10532,17428,13523,13746,13237,14531,14044,12965,13017,10696,12737,15154,12021,11207,12254,12403,13558,17084,18240,16292,13654,10299,10621,12724,12430,10458,16061,12612,9442,12826,14602,12749,8335,9796,10677,13589,12616,12808,11373,13555,12822,11749,17860,13516,14506,14580,14329,12631,5476,6661,10946,6873,6926,2889,8514,10426,13806,6263,4789,8747,3482,7563,6076,8504,5704,2533,5436,8655,8706,4694,14654,8178,6429,10899,6327,7333,10069,8185,7420
2438,1777,3022,2515,3752,2959,3444,477,3076,2487,2398,1923,2514,3029,1798,2696,3292,1971,1952,1695,2219,1716,1897,2275,2614,2090,2355,1768,1537,2181,2552,3152,1928,2280,2188,1852,3032,2142,2584,3129,2593,2215,2549,2550,2635,2212,1973,2049,2815,3330,2093,3207,2727,2399,1869,2093,1923,1776,1757,2094,2250,2232,3081,2191,1992,3506,2169,2136,2749,2089,2693,2304,1827,1718,1960,2567,1931,2159,2522,1426,2621,2290,1853,3626,3273,3379,3502,2458,2523,2641,3008,2666,2880,2151,2655,2759,2544,2624,2199,2768,3557,3143,2648,3285,2925,2423,2445,3408,3932,3741,2925,3418,3045,3394,2221,2869,3783,3751,3542,2737,3240,3383,2871,2245,3437,2407,2383,3184,2413,2467,2187,3349,2288,2410,2821,2313,2546,2203,2777,3280,3369,2813,3104,2513,3017,2197,2193,3084,3042,3120,3055,3342,2610,2584,3009,2571,3060,2471,2082,3654,3793,3093,3173,3024,2704,2572,2250,3012,2922,2587,2930,2534,3116,2861,2627,4099,3785,3008,2922,2943,2858,2607,2412,3646,2802,3475,2201,3093,3391,3706,2413,3352,2631,430,2959,3600,2812,2880,1426,2697,2810,2973,3983,3191,3070,2338,2770,2257,2504,2405,2366,3412
10745,8994,12513,11903,17204,13862,14825,3874,16174,13698,10596,4971,12507,16358,10303,10086,13183,9257,12087,9094,9015,10435,13231,10132,9490,11957,12222,7826,7003,8805,11972,11873,11506,9886,9068,9355,12536,10567,12250,12765,11232,9623,11621,12658,12638,11664,9759,10198,9648,12829,11426,10544,10993,11056,10070,11387,8652,11577,9895,9326,11047,9761,10331,10643,9462,10507,10292,10441,10792,14432,10601,8295,10224,9900,9684,10773,8338,11789,12475,10418,11804,9684,9137,18756,16165,14290,13848,12090,12272,12555,14554,11518,14188,11223,13958,16005,11009,11109,11937,13483,19183,15672,11408,17136,11343,12772,11043,14565,16985,15820,14202,14137,14421,14882,13264,12907,15410,17964,16803,13233,16939,16991,13972,13043,16771,14709,16309,12119,14221,11677,12601,13524,14354,12493,12999,14431,15817,10714,10864,15869,16028,13338,15174,11016,14514,10852,11472,13071,15907,14204,13412,14532,14791,14290,12262,11104,14420,12603,10362,15020,14659,10071,12373,13937,14052,11841,11170,12542,15395,18444,12157,12435,15480,12850,11697,15614,16231,14615,12999,14110,12781,9577,8473,16961,10136,11601,3315,15319,17997,14550,14005,7973,10501,3768,4849,14058,11654,11084,6935,14043,14991,17406,9427,15720,12871,12528,13141,11672,11499,14036,13244,15244
