Year3-4_Q3/4314985,Year4-5_Q2/4673805,Year4-5_Q3/4347315,Year0-1_Q4/4693699,Year4-5_Q4/4563575,Year3-4_Q4/4517565,Year4-5_Q2/4461112,Year0-1_Q3/4721610,Year4-5_Q2/4523323,Year3-4_Q1/4854545,Year4-5_Q1/4708866,Year3-4_Q3/4633370,Year3-4_Q1/4445466,Year1-2_Q4/4634156,IXI402,IXI294,IXI653,IXI631,IXI588,IXI259,IXI334,IXI618,IXI314,IXI464,IXI626,IXI173,IXI572,IXI452,IXI274,IXI204,IXI183,IXI218,IXI194,IXI085,IXI536,IXI353,IXI468,IXI170,IXI023,IXI517,IXI504,IXI193,IXI021,IXI062,IXI426,IXI403,IXI077,IXI222,IXI455,IXI017,IXI404,IXI270,IXI037,IXI278,IXI304,IXI180,IXI069,IXI191,IXI120,IXI200,IXI400,IXI185,IXI392,IXI141,IXI375,IXI039,IXI276,IXI068,IXI144,IXI100,IXI057,IXI332,IXI420,IXI433,IXI040,IXI307,IXI284,IXI484,IXI636,IXI462,IXI313,IXI219,IXI329,1005_v3,1011_v1,1013_v1,1016_v3,1017_v2,1017_v3,1024_v2,1026_v2,1029_v1,1030_v3,1040_v2,1043_v1,1043_v3,1044_v2,1052_v1,1057_v1,1065_v1,1072_v3,1077_v1,1080_v2,1081_v2,1092_v2,1098_v3,1099_v1,1101_v2,1103_v2,1103_v3,1105_v2,1116_v1,1118_v2,1131_v1,1133_v2,1148_v1,1150_v1,1153_v2,1158_v1,1173_v2,1175_v1,1175_v2,1178_v1,1184_v1,1189_v1,1190_v1,1190_v3,1192_v2,1195_v3,1196_v3,1207_v3,1212_v3,1213_v2,1219_v1,1220_v2,1232_v2,1235_v1,1239_v2,1240_v2,1242_v2,1243_v2,1244_v1,1254_v1,1262_v1,1263_v3,1264_v1,1264_v2,1265_v1,1268_v1,1268_v3,1275_v1,1275_v3,1291_v2,1291_v3,1309_v2,1310_v2,1316_v3,1323_v1,1330_v2,1339_v3,1345_v2,1346_v1,1349_v1,1350_v1,1354_v2,1359_v3,1368_v1,1370_v1,1379_v1,1383_v2,1389_v1,1395_v2,1402_v1,1403_v2,1415_v3,1418_v1,1418_v2,1427_v1,1428_v1,1430_v1,1431_v3,1435_v2,1437_v4,1442_v2,1445_v2,1446_v3,1447_v2,1448_v2,1453_v5,1455_v4,1460_v6,1470_v2,1488_v2,1489_v2,1493_v4,1494_v3,1502_v6,1506_v1,1507_v3,1509_v3,1509_v4,1509_v5,1511_v3,1515_v8,1522_v2,1525_v2,1528_v7,1533_v3,1534_v1,1543_v5,1543_v6,1555_v6
673,744,1583,760,2344,1296,1566,668,1911,1146,1779,518,1627,1504,1404,1184,1670,1228,1423,1196,1489,1408,1529,1819,1924,1613,1562,1328,1282,1315,1840,1458,1541,1702,1408,1228,1299,1808,1704,1969,1337,1402,1555,1705,1426,1676,1137,1300,1212,1464,1258,1487,1516,1793,1175,1291,1077,1651,1167,1284,1206,1232,1526,1217,1373,1668,1213,1704,1278,1699,1284,1601,1341,1375,1346,1850,1428,1338,1942,1483,1761,1407,1234,1524,3073,1594,1587,1297,1394,1635,1677,1739,1349,1642,1655,1801,1729,1349,1044,2233,2239,1374,1379,1716,2215,1827,2549,1749,1785,1737,1603,1403,1316,1717,1639,1404,2061,1989,1533,1579,1833,1911,1367,1639,1855,1491,1436,1569,1660,1512,1377,1690,1339,1229,1928,1686,2265,1445,1207,1913,1428,1440,1715,1386,1484,1634,1565,1648,2620,1724,2007,2095,1807,1825,1330,1216,1758,1436,1599,1479,1854,1623,2223,1697,1514,1188,1529,2470,1763,1804,1427,1814,1631,1749,1428,1950,1823,2259,1625,1752,1475,668,1266,1979,1183,556,591,1402,1518,1382,778,743,776,615,596,876,514,929,438,575,1034,967,674,1883,1081,1139,1204,1145,1844,1257,1270,1446
493,441,746,377,1334,702,861,18,913,837,767,352,710,586,569,847,1269,733,664,758,768,953,934,612,888,650,1025,666,1022,815,951,918,1226,1110,634,787,709,747,844,1131,1239,946,1266,1257,1263,1037,851,849,1144,770,866,1015,1000,956,642,1008,781,983,1093,726,1081,825,827,837,821,1118,824,1286,929,1021,547,619,637,496,997,866,590,1037,1173,850,1153,645,598,1219,796,719,759,911,985,1119,889,1268,1041,1073,911,1015,1075,732,796,1115,1089,967,742,1225,972,944,1164,933,1073,1098,1010,949,899,967,802,696,1002,1267,748,826,842,809,943,803,983,738,918,833,941,1162,890,1031,944,885,1111,1347,1159,1035,770,866,798,952,1156,701,1135,840,860,898,1101,1005,1150,1487,1056,1013,1660,871,1189,616,973,1323,1109,1132,1238,856,946,784,734,1138,1218,933,963,1049,979,1028,938,1233,919,935,717,1202,1131,352,397,604,476,403,38,624,803,937,551,172,454,7,442,632,396,469,152,512,554,637,529,858,552,395,598,481,691,640,665,626
2308,1586,3248,1770,3977,2400,3810,1133,2758,2375,2889,1293,2754,2352,2730,2912,3447,3028,2710,2909,2707,3736,5062,3373,3758,2847,3023,2768,3596,3062,3320,3395,3443,2924,2521,2450,3247,2668,3960,3036,4209,3528,3298,3838,3396,3419,3395,2439,3523,4134,3115,4010,2888,4688,2446,2650,2240,4056,2807,3131,4041,3279,3299,3675,2895,3480,2845,3194,3195,5152,3818,3042,2458,2521,2911,2606,3007,3348,3201,2869,4215,3061,2633,4000,4816,3040,4207,4010,4240,3697,4229,4067,2708,4523,3007,3746,3643,2865,3049,3640,4622,3796,2605,3573,3794,2552,3821,3239,3851,3552,3578,2908,2896,4625,3273,3384,4302,4914,3414,2965,3443,3792,3779,2946,3968,2987,2330,2402,3167,3483,2899,3075,3102,3008,3637,4137,4302,2959,3219,3476,3482,3188,4477,3268,3622,2932,3090,3818,4322,3312,3851,4282,4450,4506,4127,2832,3552,3152,3127,4157,3056,4276,4050,3166,3478,2268,2813,3370,4422,4237,3369,3972,3702,3944,3057,4218,3539,3562,3750,3638,4308,1717,1661,2689,1979,1474,936,2099,2483,4180,1841,918,2037,993,1760,2661,1619,2571,1618,1710,2121,1962,2101,3083,2283,1575,2662,1531,2046,2375,2389,2295
1507,947,1419,1125,2956,1754,2090,712,1995,1989,1572,1390,1949,1486,2051,2194,3029,2266,2218,2112,2483,2157,2663,2198,2036,2166,2074,1860,1883,2050,2470,2521,1940,2445,2040,1987,2459,1855,2143,1775,1920,2240,3458,2456,2157,2405,2089,2096,2194,2402,2621,2527,2435,2233,1672,2462,2204,2266,1888,2401,2236,2067,1862,2431,1787,2507,2677,1893,2019,2696,2531,2371,1865,1709,2170,1787,1774,2375,2643,2128,2567,2140,2253,2823,1992,2289,2406,2216,2272,2288,2213,2900,2806,2435,2319,2529,2212,2350,2282,2418,2479,2241,2104,2670,2498,2208,2096,2311,2103,2257,2105,2197,2200,2439,1809,2423,2281,2490,1714,1787,2336,2368,1964,1816,2416,2431,2651,1963,2419,2272,2439,2043,1453,2104,2634,2728,1917,2406,1854,2208,2081,2139,2054,2521,1856,2116,2072,1306,2060,2266,2848,2946,2743,2900,3002,1930,2493,2077,1735,2436,2035,2101,2257,1753,2434,1994,1465,1702,2968,2508,1920,2239,2126,2351,1854,2620,1463,2048,2212,2703,2566,1046,1061,1785,1237,1316,796,1491,1685,2004,1297,764,1319,602,1012,1801,1138,1189,1395,1477,1289,1513,1018,1541,1736,996,1715,1273,2017,1068,1612,1444
782,637,473,329,1191,480,429,434,402,506,415,425,452,293,608,588,726,773,568,559,720,560,603,730,843,629,479,542,839,584,705,822,645,559,436,458,704,602,660,837,790,763,495,579,547,471,549,876,625,571,601,746,730,712,759,822,648,548,762,671,683,556,773,669,629,658,531,490,551,790,528,562,545,601,612,603,763,688,694,432,540,416,474,661,684,735,677,613,555,486,704,841,698,624,805,845,694,533,578,683,546,534,439,678,646,856,808,637,713,681,844,770,462,528,423,452,799,567,909,486,559,618,595,471,829,671,787,488,329,418,645,643,564,443,727,748,602,502,634,709,730,655,612,750,606,655,504,604,724,625,857,907,721,641,743,599,576,591,489,770,427,693,642,625,770,562,628,616,708,883,632,543,481,628,569,765,781,755,524,779,789,472,462,419,607,478,280,499,666,734,362,287,489,479,353,374,439,234,633,167,467,513,320,630,383,330,695,327,508,564,425,387
2770,3353,4280,2055,5729,3407,4078,2263,4104,3592,3479,2241,3631,3077,4291,4273,4792,3935,5233,3412,4325,4695,4961,3795,5135,4703,4951,4004,4705,4322,5479,4829,4597,4017,3414,4097,4541,4025,4385,4400,4016,4417,4875,4632,4466,4562,3866,4059,4369,4910,5073,4137,4668,5127,3990,4434,3964,4339,4810,3753,3808,4050,3876,4396,3929,5279,5397,4325,4013,5176,5281,4244,3357,4265,3740,4107,4143,4238,5719,4182,5188,3849,3860,5382,5046,4367,5350,4554,4850,4295,4462,4794,5065,4374,5104,4999,4773,4425,4680,4564,5411,3674,3711,5070,4585,5148,4429,4760,4769,5022,5237,4324,3876,4979,4214,3412,5557,5654,3452,4256,4717,4684,4589,4152,5065,4610,4727,4301,4236,4994,3736,4178,4067,3973,5828,5701,4630,4123,4388,4836,4843,5084,4618,4264,4408,4915,4602,3628,4835,4600,5949,6179,5264,4634,5169,4043,5134,4876,3706,4703,4844,5124,4045,4527,4289,4552,4149,4163,5376,5410,3897,4794,4598,5221,3901,6225,4784,5412,4053,4717,5374,1834,2825,3327,2870,1831,1909,3865,3819,4593,1934,1333,2040,2190,3291,2357,2014,1869,2312,2015,2559,3129,1957,3719,2652,2162,3767,2698,3458,3453,2525,2613
4030,4069,6695,3498,8627,6104,7904,2700,6984,6503,7021,2940,6845,6746,5690,5207,6915,5742,6595,5495,6444,5409,6488,7714,7593,5274,6588,5530,6651,5715,6476,5766,6617,7255,6141,5847,7204,6497,7096,6064,6160,5089,5668,7331,7003,7122,4846,5291,7044,7328,6454,6809,6751,7887,6068,5650,5497,6910,5270,6693,5805,5426,6416,6464,6471,7061,6331,5858,5526,6904,5917,7171,4427,7308,5408,5939,4997,6407,8562,6489,8062,5639,5275,7571,7325,6635,7528,7617,7642,7778,5638,6576,8017,6916,7893,8720,6448,5171,6448,10069,9428,7572,6932,6732,7879,5728,8970,7545,8415,7787,6990,4826,5290,7629,6820,5354,8731,8281,4851,6892,8553,8770,6138,7217,8093,7728,7675,6925,6478,7303,6994,6411,5403,6272,6244,8131,9475,6045,6478,8100,5139,6136,7442,7156,7025,7531,7120,5724,8094,8310,7952,8738,8648,8350,6193,6048,8676,6705,6075,6969,8293,7986,7054,6467,6747,6961,5336,9952,7722,7167,6469,5476,6629,6302,5321,7638,6832,7564,6485,8268,7852,4427,4640,5349,3958,2875,2613,5652,6526,7309,3219,3343,3434,2482,3028,5059,2704,4978,2514,2979,3849,3916,4877,7283,4742,4386,4157,4932,7114,4313,4477,4238
2277,2922,4040,1842,5692,3360,4708,2338,4287,3872,3737,1753,3999,4632,4598,3412,5095,5273,4484,3943,4751,4920,5091,4349,6425,3964,5043,4157,4757,3812,5409,5435,6507,5652,3803,3848,5425,5542,4714,4596,3853,4631,5792,5624,4085,5204,3612,4244,5092,5531,5608,5642,4902,6052,4729,5170,3729,5161,5130,3874,4232,3184,4931,4127,4566,5704,5391,4335,4412,4753,5134,3941,3408,4394,4478,4207,4464,5033,6062,3085,5204,3724,4061,6142,5795,5836,4896,5447,5927,5064,5895,5246,5938,4214,4539,5147,5357,4788,4822,7394,6418,3635,4061,5186,4516,4366,6129,4465,4567,4446,4964,4456,4151,4598,5101,3769,5457,5754,4315,5071,5499,5885,4140,4671,6155,5730,5615,4913,4785,4244,4706,6175,4525,4028,7093,6156,7516,5289,5430,5433,4280,4918,5617,5893,5745,4765,4452,4146,6706,5004,6808,7057,6499,5661,4884,4492,5639,4970,4510,5871,4904,5142,5045,5105,4788,3547,4710,6586,5369,5245,4845,4602,4478,5050,4058,6778,5236,6163,4758,5699,5739,2415,3308,3432,2735,1969,1798,3993,3504,5643,2036,1522,2604,1975,4185,2450,1964,1633,1954,1666,3107,2684,2258,5204,2521,2620,3771,3237,3484,3441,2644,2478
1107,983,1463,885,1699,1235,1490,304,1568,1335,1207,975,1362,1153,1117,1382,1896,1328,1174,1159,1404,1129,1196,1343,1593,1277,1477,1354,1300,1260,1650,1810,1260,1485,1312,1230,1779,1369,1505,1638,1802,1388,1530,1681,1476,1352,1163,1290,1631,1923,1364,1901,1621,1408,1218,1223,1194,1291,1164,1479,1645,1350,1819,1461,1322,1950,1376,1306,1503,1496,1633,1307,1151,1102,1236,1194,1223,1495,1591,996,1833,1293,1240,1924,1475,1689,1572,1305,1469,1350,1417,1409,1628,1292,1355,1409,1477,1349,1392,1460,1643,1374,1368,1594,1518,1158,1405,1495,1714,1729,1474,1707,1545,1639,1353,1346,2022,2024,1463,1494,1483,1596,1439,1283,1691,1300,1317,1523,1269,1578,1479,1713,1155,1406,1694,1387,1410,1198,1385,1675,1458,1431,1705,1585,1590,1138,1135,1391,1370,1670,1644,1822,1421,1437,1660,1309,1592,1381,1212,1822,1883,1766,1499,1606,1202,1493,1121,1483,1549,1339,1375,1265,1399,1463,1363,1985,1599,1512,1423,1516,1491,770,986,1358,916,1217,603,1181,1429,1914,824,954,994,642,1276,1317,840,1124,480,920,954,1178,1165,1377,1165,757,1086,764,1123,1067,1065,1225
6579,5828,6602,4698,9575,7557,7489,3788,9339,8272,5523,3746,7118,6811,7134,7798,8052,7432,8206,6281,6473,7037,9829,7274,7036,7727,8824,5736,6210,5838,7984,8136,7377,7509,5957,6265,7816,7314,7955,8030,7419,6208,8200,8675,8298,7936,6231,7893,6753,8451,6755,7169,7458,7104,6529,6688,5692,8161,6268,6856,7536,6340,7153,7259,6884,7467,7581,6938,7436,8180,7379,6795,6262,7890,6724,6676,5796,7365,9104,8077,9048,5547,7218,11335,8493,7898,7942,7568,7749,7950,7907,8205,8367,9131,9187,9615,7013,7515,7672,6863,10790,7314,7108,9052,7152,6772,6239,7282,7647,7953,7550,7042,7397,7979,8136,6775,8496,9083,6700,7079,8892,8140,7034,7655,8463,8747,8631,7589,8401,7528,7583,7848,5785,7515,8071,8415,8715,7420,6631,8453,7134,6722,8592,7419,8212,6366,6058,5066,7949,8030,8219,9288,9397,9216,8272,6454,9596,7629,5931,7685,7593,7536,6067,6680,7321,7521,7163,7376,9056,9005,5717,7197,8215,7614,5739,9269,7228,8561,6870,8527,8377,3744,3632,5652,5737,4920,2250,5851,5463,7568,3623,3166,3765,3270,3366,4936,3525,4046,3432,4736,5572,6951,3732,6224,5682,4344,5444,4290,8041,4676,4675,4875
