Year3-4_Q3/4314985,Year4-5_Q2/4673805,Year4-5_Q3/4347315,Year0-1_Q4/4693699,Year4-5_Q4/4563575,Year3-4_Q4/4517565,Year4-5_Q2/4461112,Year0-1_Q3/4721610,Year4-5_Q2/4523323,Year3-4_Q1/4854545,Year4-5_Q1/4708866,Year3-4_Q3/4633370,Year3-4_Q1/4445466,Year1-2_Q4/4634156,IXI402,IXI294,IXI653,IXI631,IXI588,IXI259,IXI334,IXI618,IXI314,IXI464,IXI626,IXI173,IXI572,IXI452,IXI274,IXI204,IXI183,IXI218,IXI194,IXI085,IXI536,IXI353,IXI468,IXI170,IXI023,IXI517,IXI504,IXI193,IXI021,IXI062,IXI426,IXI403,IXI077,IXI222,IXI455,IXI017,IXI404,IXI270,IXI037,IXI278,IXI304,IXI180,IXI069,IXI191,IXI120,IXI200,IXI400,IXI185,IXI392,IXI141,IXI375,IXI039,IXI276,IXI068,IXI144,IXI100,IXI057,IXI332,IXI420,IXI433,IXI040,IXI307,IXI284,IXI484,IXI636,IXI462,IXI313,IXI219,IXI329,1005_v3,1011_v1,1013_v1,1016_v3,1017_v2,1017_v3,1024_v2,1026_v2,1029_v1,1030_v3,1040_v2,1043_v1,1043_v3,1044_v2,1052_v1,1057_v1,1065_v1,1072_v3,1077_v1,1080_v2,1081_v2,1092_v2,1098_v3,1099_v1,1101_v2,1103_v2,1103_v3,1105_v2,1116_v1,1118_v2,1131_v1,1133_v2,1148_v1,1150_v1,1153_v2,1158_v1,1173_v2,1175_v1,1175_v2,1178_v1,1184_v1,1189_v1,1190_v1,1190_v3,1192_v2,1195_v3,1196_v3,1207_v3,1212_v3,1213_v2,1219_v1,1220_v2,1232_v2,1235_v1,1239_v2,1240_v2,1242_v2,1243_v2,1244_v1,1254_v1,1262_v1,1263_v3,1264_v1,1264_v2,1265_v1,1268_v1,1268_v3,1275_v1,1275_v3,1291_v2,1291_v3,1309_v2,1310_v2,1316_v3,1323_v1,1330_v2,1339_v3,1345_v2,1346_v1,1349_v1,1350_v1,1354_v2,1359_v3,1368_v1,1370_v1,1379_v1,1383_v2,1389_v1,1395_v2,1402_v1,1403_v2,1415_v3,1418_v1,1418_v2,1427_v1,1428_v1,1430_v1,1431_v3,1435_v2,1437_v4,1442_v2,1445_v2,1446_v3,1447_v2,1448_v2,1453_v5,1455_v4,1460_v6,1470_v2,1488_v2,1489_v2,1493_v4,1494_v3,1502_v6,1506_v1,1507_v3,1509_v3,1509_v4,1509_v5,1511_v3,1515_v8,1522_v2,1525_v2,1528_v7,1533_v3,1534_v1,1543_v5,1543_v6,1555_v6
524,531,1065,522,1536,864,1126,461,1271,816,1156,404,1038,1058,954,775,1111,814,973,806,1021,937,1012,1224,1309,1096,1009,846,862,878,1198,950,1016,1101,962,809,840,1187,1158,1291,907,928,1029,1178,947,1122,771,844,808,979,835,979,986,1176,795,913,761,1070,766,850,789,804,996,854,933,1101,811,1168,855,1123,827,1056,947,900,908,1248,932,868,1297,979,1172,933,805,1058,2289,1054,1070,907,956,1070,1130,1212,928,1115,1123,1219,1195,902,748,1740,1539,975,913,1172,1478,1232,1780,1196,1207,1179,1069,989,905,1193,1137,932,1415,1398,1113,1081,1204,1291,930,1111,1208,1232,938,1049,1113,1010,913,1136,941,858,1317,1142,1820,1016,781,1280,955,962,1493,923,976,1080,1036,1129,1848,1194,1360,1415,1200,1226,875,831,1175,959,1047,1003,1283,1115,1490,1170,1005,771,1139,1741,1199,1224,991,1193,1098,1149,967,1301,1309,1538,1183,1168,964,581,971,1643,829,392,519,975,1081,935,569,507,605,442,460,633,348,771,307,415,722,674,545,1257,770,888,857,1041,1078,958,952,980
337,302,504,256,938,460,542,12,658,571,520,228,451,399,340,571,867,468,417,487,481,602,610,373,559,410,694,424,739,503,611,602,784,705,401,519,424,479,527,730,833,620,859,800,843,648,547,585,773,468,555,653,653,639,410,664,499,635,733,446,747,569,505,523,522,736,540,858,580,681,337,378,389,309,650,588,361,710,767,571,723,449,387,828,553,443,518,612,638,787,606,919,735,739,631,701,714,474,528,766,752,665,504,873,625,613,790,650,747,736,652,658,610,618,495,459,662,865,527,565,536,521,653,529,654,498,599,527,590,748,635,660,612,584,762,889,789,714,484,557,524,623,814,440,762,579,595,619,746,632,830,1095,692,673,1082,562,767,379,659,895,745,754,862,564,599,520,538,813,835,662,653,757,681,654,605,908,636,623,486,863,771,264,280,424,328,268,32,448,577,631,376,111,296,5,317,461,260,316,118,370,383,466,398,625,380,257,409,363,409,468,468,419
1635,1262,2229,1327,2763,1796,2619,724,1837,1626,2005,866,1914,1780,1864,2035,2276,2015,1842,1874,1897,2453,3277,2172,2416,2019,2048,1861,2295,2088,2147,2347,2257,1856,1647,1654,2148,1749,2606,2017,2672,2321,2179,2488,2306,2245,2303,1592,2159,2732,1998,2408,1878,3188,1579,1802,1449,2646,1777,2072,2440,2104,2143,2339,1944,2430,1905,2099,2131,3282,2591,2000,1651,1653,1863,1746,1899,2310,2122,1850,2732,2049,1685,2715,3415,2052,2913,2852,2905,2648,2923,2769,1684,3090,2053,2534,2454,1972,2064,2636,3225,2606,1831,2407,2633,1717,2476,2265,2715,2420,2458,2001,1989,3023,2183,2310,2913,3420,2446,2052,2384,2568,2537,1930,2766,2069,1586,1593,2121,2428,1900,2172,2110,2046,2534,2769,2979,1991,2149,2300,2388,2138,3044,2273,2531,2102,2189,2737,2931,2298,2645,2925,3017,3069,2570,1834,2403,2144,2167,2925,2037,3001,2811,2212,2392,1524,1999,2391,2890,2867,2337,2740,2660,2665,2225,2948,2639,2395,2685,2483,3048,1379,1262,2048,1451,1069,769,1558,1853,2921,1421,710,1509,683,1303,1966,1209,1878,1152,1289,1551,1411,1624,2228,1645,1211,1916,1156,1280,1797,1810,1686
1061,664,1054,900,1999,1289,1583,551,1447,1431,1118,984,1221,1177,1343,1511,1908,1438,1487,1360,1598,1413,1633,1469,1351,1390,1367,1205,1348,1325,1519,1625,1296,1590,1305,1232,1513,1211,1418,1226,1266,1427,2281,1616,1381,1625,1381,1377,1379,1602,1684,1628,1594,1478,1115,1608,1429,1518,1209,1591,1469,1302,1211,1543,1162,1558,1686,1235,1280,1865,1666,1494,1148,1059,1396,1245,1132,1532,1704,1354,1669,1345,1430,2046,1469,1599,1604,1454,1509,1671,1559,1982,1912,1745,1496,1757,1472,1561,1578,1772,1740,1695,1526,1968,1743,1595,1411,1598,1603,1584,1540,1533,1506,1671,1253,1705,1620,1754,1214,1310,1595,1604,1388,1244,1692,1886,1834,1283,1661,1538,1595,1419,1102,1417,1761,1860,1392,1633,1267,1491,1486,1510,1530,1661,1268,1419,1427,991,1486,1598,1949,2096,1893,1964,1892,1315,1646,1439,1140,1651,1495,1472,1528,1285,1719,1385,1013,1217,1977,1747,1375,1513,1579,1616,1251,1877,1098,1415,1598,1819,1774,843,870,1412,908,1021,659,1048,1356,1358,974,575,987,415,680,1296,891,880,952,1130,970,1197,814,1199,1236,798,1333,985,1177,817,1241,1072
476,395,344,244,818,344,324,284,268,325,265,323,268,191,391,397,495,502,373,356,419,374,374,429,592,416,304,334,561,409,471,566,414,360,281,315,484,378,437,485,515,498,321,386,345,299,402,582,416,397,389,471,473,420,501,541,424,363,519,437,471,361,528,438,402,438,347,317,386,506,371,364,356,354,401,391,501,482,439,272,358,276,319,468,501,514,437,439,387,319,500,646,460,439,561,594,461,364,406,509,367,395,334,476,473,598,557,414,512,491,584,524,321,352,293,319,579,375,743,334,403,411,403,341,589,490,528,347,241,285,439,438,395,314,513,516,430,359,428,503,507,446,464,516,403,440,373,416,545,437,557,664,482,439,464,400,400,399,345,523,310,504,413,434,554,364,452,449,467,635,445,393,341,410,389,534,549,558,408,552,582,392,381,352,489,378,198,358,499,583,269,164,355,441,269,289,311,171,443,112,330,378,252,460,276,244,494,233,277,419,342,285
2101,2409,3062,1660,4069,2567,2955,1543,2956,2586,2370,1548,2600,2485,2938,2857,3298,2668,3626,2375,2941,3182,3330,2796,3570,3261,3395,2734,3390,2948,3669,3205,3254,2710,2528,2814,3090,2757,2947,2970,2843,2979,3310,3071,3037,3144,2586,2862,3056,3391,3391,2803,3240,3552,2700,3051,2771,2962,3272,2602,2573,2897,2700,3073,2635,3701,3640,2895,2776,3535,3586,2969,2367,2803,2632,2831,2803,2955,3930,2921,3487,2630,2634,3916,3728,3111,3726,3294,3392,3165,3118,3416,3449,3212,3465,3565,3356,3095,3267,3512,3794,2791,2773,3787,3193,3655,3230,3426,3398,3601,3734,3005,2792,3567,2992,2475,3843,4127,2598,3077,3359,3280,3259,3005,3619,3421,3352,3079,3017,3590,2726,3002,3073,2793,4160,4010,3314,3043,3220,3416,3411,3646,3638,2989,3194,3579,3349,2681,3405,3263,4302,4392,3734,3325,3528,2958,3649,3542,2560,3412,3403,3682,2994,3243,3117,3132,2910,3097,3714,3807,2900,3439,3351,3808,2970,4508,3521,3745,3026,3388,3845,1660,2248,2625,2121,1401,1522,2945,2940,3237,1524,1021,1543,1920,2436,1782,1583,1416,1752,1526,1901,2378,1543,2738,2050,1651,2844,2112,2187,2624,1966,1977
2754,2836,4765,2629,5597,4327,5640,1908,4910,4421,4193,2022,4700,5170,4022,3395,4920,3917,4225,3761,4521,3748,4012,5185,5261,3642,4614,3751,4378,3852,4374,4087,4497,4933,4306,4019,4827,4552,4907,4087,4158,3422,3838,5003,4558,4996,3359,3644,4709,5098,4364,4490,4604,5455,4073,3966,3741,4624,3633,4621,3977,3840,4370,4309,4419,5026,4353,4119,3965,4749,4169,4449,3088,4468,3713,3997,3418,4344,5658,4208,5416,3894,3501,5432,5493,4712,5214,5357,5407,5508,4122,4513,5498,4751,5500,5936,4584,3549,4519,7303,6364,5330,4865,4886,5368,3986,5892,5306,6050,5592,4992,3464,3788,5480,4707,3897,6177,5792,3586,5020,6057,6099,4503,5084,5822,5828,5351,4841,4551,5188,4718,4476,3911,4386,4239,5667,6501,4316,4566,5606,3639,4383,5462,4924,4969,5228,4954,4034,5768,6134,5613,6114,5735,5775,4379,4263,5651,4692,4311,5023,5772,5657,5023,4622,4875,4852,3797,6944,5353,4991,4658,3794,4695,4420,3785,5508,4929,5177,4743,5772,5767,3893,3453,4151,2948,2074,2195,3937,4843,5064,2514,2370,2539,1714,2123,3645,2051,3707,1828,2241,2946,2949,3467,5207,3483,3404,3080,3629,4209,3191,3295,3114
1631,2015,2916,1469,4012,2442,3418,1630,3141,2906,2803,1225,2785,3442,3263,2439,3589,3559,3047,2682,3369,3394,3436,3030,4319,2707,3539,2817,3370,2671,3629,3782,4551,3857,2890,2576,3769,3793,3400,3199,2687,3182,4037,3883,2678,3730,2563,2949,3571,3993,3886,3767,3435,4127,3238,3594,2626,3535,3496,2771,2898,2200,3505,2788,3090,3993,3721,3080,3071,3337,3485,2799,2439,2774,3160,3081,3022,3489,4219,2039,3544,2658,2764,4391,4175,4296,3580,3823,4155,3588,4302,3635,4140,3102,3112,3607,3808,3445,3555,5544,4668,2893,2985,3669,3194,3128,4227,3172,3333,3269,3462,3168,3105,3307,3599,2811,3792,4267,3270,3728,4050,4205,2959,3472,4345,4315,3917,3449,3436,3131,3321,4329,3263,2911,5058,4310,5333,3791,3938,3897,3151,3580,4093,4005,4137,3427,3195,3090,4751,3729,4861,5143,4559,3999,3350,3235,3887,3484,3170,4056,3474,3652,3745,3884,3528,2518,3345,4604,3710,3659,3599,3233,3390,3581,3096,4794,3781,4294,3695,4032,4109,1851,2361,2663,1969,1538,1455,2896,2614,3990,1545,1142,1960,1603,3190,1797,1505,1297,1425,1209,2264,2016,1722,3765,1928,1940,2853,2398,2056,2530,1979,1810
768,648,1016,591,1207,849,1032,184,1065,899,818,657,922,888,760,981,1306,884,797,757,952,716,759,825,1095,828,987,813,892,854,1081,1223,830,986,865,797,1181,895,1011,1090,1183,898,1009,1119,975,878,751,876,1071,1269,861,1250,1061,957,788,793,788,841,767,983,1059,912,1213,961,871,1288,900,870,1016,986,1138,882,762,696,830,817,809,983,1018,605,1224,884,808,1378,1077,1163,1110,920,1015,974,979,981,1100,901,928,995,989,926,943,1035,1191,988,927,1119,1108,777,976,1070,1240,1174,1011,1186,1036,1114,923,925,1383,1411,1062,1057,994,1109,1010,889,1243,932,900,1074,840,1034,998,1160,797,918,1129,939,974,842,960,1170,1026,970,1243,1088,1082,817,797,1001,981,1200,1116,1281,952,979,1129,935,1071,948,807,1305,1320,1246,1032,1105,867,1027,816,1070,1030,907,983,928,1035,996,922,1383,1144,1026,1028,1032,1078,571,751,1032,638,844,438,857,1035,1330,615,703,732,418,865,974,610,811,306,667,681,847,893,989,810,550,788,531,652,748,742,908
4490,4239,4521,3489,6407,5110,5382,2548,5988,5811,3618,2671,4705,5051,4842,4943,5497,4605,5392,4179,4216,4638,6150,5080,4797,5140,6094,3760,4181,3928,5100,5221,5064,4985,4085,4101,5067,4870,5397,5027,5115,4113,5359,5822,5419,5408,4212,5136,4502,5625,4587,4704,5037,4828,4346,4490,3788,5241,4281,4633,4940,4322,4755,4844,4632,4615,4697,4661,5003,5708,4904,4248,4153,4891,4493,4310,3731,4975,5895,5509,5710,3820,4569,7948,6352,5696,5634,5078,5227,5683,5485,5598,5769,6210,6142,6657,4821,4806,5340,5255,7670,5583,4970,6742,5082,4908,4591,5326,5729,5636,5561,5019,5195,5898,5667,4833,6018,6507,5052,5149,6291,5957,5114,5276,6148,6471,6178,4940,5956,5213,5205,5375,4536,5201,5428,5904,6226,5087,4567,5934,5291,4928,6492,4976,5985,4346,4447,3813,6079,5852,5856,6638,6293,6219,5471,4545,6423,5250,4148,5705,5369,5131,4659,4992,5393,4991,4784,5252,6221,6682,4332,5075,5797,5208,4330,6341,5342,5944,4927,5780,5921,3208,2709,4426,4239,3636,1705,4441,4301,5388,3069,2415,2749,2231,2495,3790,2787,2938,2459,3494,4010,4955,2720,4700,4121,3241,4222,3278,4603,3570,3638,3776
