Year3-4_Q3/4314985,Year4-5_Q2/4673805,Year4-5_Q3/4347315,Year0-1_Q4/4693699,Year4-5_Q4/4563575,Year3-4_Q4/4517565,Year4-5_Q2/4461112,Year0-1_Q3/4721610,Year4-5_Q2/4523323,Year3-4_Q1/4854545,Year4-5_Q1/4708866,Year3-4_Q3/4633370,Year3-4_Q1/4445466,Year1-2_Q4/4634156,IXI402,IXI294,IXI653,IXI631,IXI588,IXI259,IXI334,IXI618,IXI314,IXI464,IXI626,IXI173,IXI572,IXI452,IXI274,IXI204,IXI183,IXI218,IXI194,IXI085,IXI536,IXI353,IXI468,IXI170,IXI023,IXI517,IXI504,IXI193,IXI021,IXI062,IXI426,IXI403,IXI077,IXI222,IXI455,IXI017,IXI404,IXI270,IXI037,IXI278,IXI304,IXI180,IXI069,IXI191,IXI120,IXI200,IXI400,IXI185,IXI392,IXI141,IXI375,IXI039,IXI276,IXI068,IXI144,IXI100,IXI057,IXI332,IXI420,IXI433,IXI040,IXI307,IXI284,IXI484,IXI636,IXI462,IXI313,IXI219,IXI329,1005_v3,1011_v1,1013_v1,1016_v3,1017_v2,1017_v3,1024_v2,1026_v2,1029_v1,1030_v3,1040_v2,1043_v1,1043_v3,1044_v2,1052_v1,1057_v1,1065_v1,1072_v3,1077_v1,1080_v2,1081_v2,1092_v2,1098_v3,1099_v1,1101_v2,1103_v2,1103_v3,1105_v2,1116_v1,1118_v2,1131_v1,1133_v2,1148_v1,1150_v1,1153_v2,1158_v1,1173_v2,1175_v1,1175_v2,1178_v1,1184_v1,1189_v1,1190_v1,1190_v3,1192_v2,1195_v3,1196_v3,1207_v3,1212_v3,1213_v2,1219_v1,1220_v2,1232_v2,1235_v1,1239_v2,1240_v2,1242_v2,1243_v2,1244_v1,1254_v1,1262_v1,1263_v3,1264_v1,1264_v2,1265_v1,1268_v1,1268_v3,1275_v1,1275_v3,1291_v2,1291_v3,1309_v2,1310_v2,1316_v3,1323_v1,1330_v2,1339_v3,1345_v2,1346_v1,1349_v1,1350_v1,1354_v2,1359_v3,1368_v1,1370_v1,1379_v1,1383_v2,1389_v1,1395_v2,1402_v1,1403_v2,1415_v3,1418_v1,1418_v2,1427_v1,1428_v1,1430_v1,1431_v3,1435_v2,1437_v4,1442_v2,1445_v2,1446_v3,1447_v2,1448_v2,1453_v5,1455_v4,1460_v6,1470_v2,1488_v2,1489_v2,1493_v4,1494_v3,1502_v6,1506_v1,1507_v3,1509_v3,1509_v4,1509_v5,1511_v3,1515_v8,1522_v2,1525_v2,1528_v7,1533_v3,1534_v1,1543_v5,1543_v6,1555_v6
2.132,2.703,2.671,3.016,2.732,2.637,2.766,1.446,3.084,2.813,2.795,2.76,2.775,3.132,2.363,2.69,2.582,2.487,2.391,2.613,2.213,2.351,2.349,2.098,2.278,2.354,2.41,2.369,1.998,2.081,2.51,2.637,2.446,2.379,2.56,2.539,2.547,2.878,2.539,2.227,2.319,2.526,2.429,2.111,2.545,2.419,2.443,2.449,2.178,2.518,2.235,2.066,2.576,2.583,2.232,2.475,2.557,2.322,2.371,1.994,2.488,2.55,2.607,2.237,2.067,2.636,2.255,2.404,2.513,2.527,2.635,2.3,2.39,2.149,2.479,2.527,2.082,2.534,2.254,2.447,2.309,2.631,2.279,2.504,1.992,2.596,2.63,2.678,2.617,2.708,2.733,2.427,2.786,2.401,2.709,2.726,2.67,2.825,2.45,1.971,2.911,2.708,2.43,2.811,2.509,2.706,1.698,2.896,2.882,2.812,2.607,2.794,2.59,2.687,2.597,2.932,2.577,2.694,2.225,2.555,2.618,2.546,2.845,2.71,2.695,2.088,2.827,3.003,2.41,2.635,2.508,2.633,2.739,2.693,2.665,2.723,2.527,2.467,2.825,2.931,3.07,2.805,1.865,2.427,2.921,2.82,2.812,2.49,2.563,2.866,2.947,2.859,2.638,2.534,2.801,2.458,2.591,2.758,2.754,2.668,2.767,2.519,2.622,2.873,2.789,2.479,1.961,2.022,2.747,2.59,2.299,2.868,2.824,2.735,2.588,2.807,2.579,2.639,2.677,2.797,2.521,1.377,2.381,2.135,3.025,2.819,2.34,2.627,3.121,2.542,2.56,2.401,2.704,1.039,2.414,2.356,2.888,2.219,0.565,2.238,2.542,2.56,1.135,2.43,2.318,1.549,2.403,2.227,2.514,2.429,2.668,2.374
2.64,2.589,2.876,3.436,2.909,2.92,2.979,2.091,2.916,2.772,2.997,3.216,2.747,2.473,2.364,2.375,2.358,2.398,2.261,2.466,2.349,2.114,2.149,2.442,2.315,2.646,2.14,2.721,1.959,2.477,2.428,2.455,2.189,2.439,2.476,2.608,2.405,2.41,2.455,2.343,2.604,2.559,2.766,2.212,2.568,2.264,2.607,2.494,2.211,2.364,2.54,2.49,2.396,2.52,2.532,2.648,2.462,2.204,2.238,2.263,2.485,3.016,2.658,2.276,2.213,2.516,2.703,2.62,2.136,2.419,2.406,2.579,2.189,2.081,2.417,2.288,2.054,2.389,2.502,2.872,2.092,2.624,2.568,2.652,3.091,2.612,2.691,2.474,2.286,2.691,2.81,2.633,2.785,2.24,3.142,2.982,2.589,2.502,2.611,2.607,2.556,2.605,2.654,2.975,2.259,2.791,2.302,2.787,2.789,2.855,2.516,2.665,2.57,2.852,2.361,2.493,2.516,2.731,3.311,2.732,2.841,2.729,2.529,2.59,2.642,2.479,2.444,2.672,2.501,2.564,2.499,2.627,2.463,2.726,2.587,2.726,2.8,2.614,2.727,2.219,2.618,2.631,2.493,2.359,2.55,2.743,2.827,2.981,2.577,2.476,2.863,2.594,2.755,2.549,2.662,2.374,2.61,2.238,2.724,2.669,2.549,2.544,2.625,2.384,2.59,2.63,2.904,3.206,2.883,2.891,2.5,2.537,2.587,2.406,2.74,3.038,3.76,2.275,2.835,2.587,2.618,3.538,3.993,2.972,3.781,3.772,2.361,3.46,2.84,2.675,3.17,3.538,3.523,0.799,2.819,3.445,3.831,3.558,1.415,3.688,3.582,3.595,3.521,3.45,3.007,2.893,3.002,3.301,2.651,3.439,3.568,3.489
2.78,2.674,2.89,3.364,2.771,2.69,3.055,2.906,2.991,2.86,3.137,2.736,2.921,3.051,2.371,2.607,2.564,2.384,2.609,2.665,2.608,2.431,2.454,2.44,2.474,2.74,2.439,2.297,1.864,2.251,2.74,2.735,2.546,2.608,2.771,2.433,2.679,2.619,2.552,2.678,2.338,2.495,2.688,2.472,2.552,2.661,2.651,2.567,2.307,2.55,2.433,2.329,2.645,2.594,2.612,2.612,2.447,2.374,2.412,2.446,2.359,2.587,2.444,2.569,2.415,2.545,2.59,2.646,2.687,2.524,2.561,2.371,2.538,2.528,2.54,2.613,2.506,2.658,2.211,2.478,2.462,2.675,2.31,2.876,2.948,2.693,2.836,2.656,2.695,2.776,3.137,2.515,2.687,2.019,2.87,2.8,2.797,2.94,2.723,2.717,2.943,2.892,2.74,2.881,2.803,2.778,2.489,2.947,2.736,2.976,2.816,2.872,3.295,2.86,2.664,2.658,2.61,2.914,2.923,2.909,2.945,2.901,2.868,2.908,2.843,2.182,2.684,2.97,2.803,2.797,2.511,3.022,3.156,2.944,2.842,2.768,2.769,2.799,2.964,2.897,3.058,3,2.445,2.568,2.834,2.686,2.768,2.934,2.501,2.906,2.8,2.789,2.892,2.596,2.624,2.635,2.843,2.81,2.69,2.857,2.847,2.699,2.924,2.908,2.92,2.672,3.013,2.671,3.066,2.885,2.889,2.789,2.926,2.85,2.67,2.87,2.762,2.723,2.825,2.894,2.658,2.713,2.787,3.061,3.079,3.195,3.148,2.671,2.679,2.815,2.839,2.585,2.881,1.588,1.808,3.016,3.127,3.042,1.765,3.1,3.233,3.247,3.267,2.799,2.811,2.932,2.589,3.089,2.874,2.688,2.616,2.915
2.157,2.07,2.151,2.719,2.12,2.266,2.423,1.549,2.557,2.4,2.213,2.093,2.05,2.589,1.641,1.935,1.943,1.528,1.876,1.592,1.645,1.603,2.079,1.644,1.639,1.685,1.517,1.522,1.373,1.56,1.755,1.792,1.648,1.559,1.737,1.808,1.625,1.649,1.541,1.723,1.62,1.602,1.824,1.371,1.877,1.553,1.926,1.588,1.567,1.82,1.598,1.754,1.74,1.708,1.554,1.773,1.521,1.66,1.605,1.852,1.568,1.886,1.675,1.844,1.723,1.804,1.608,1.55,1.701,1.642,1.741,1.709,1.942,1.795,1.726,1.764,1.511,1.89,1.822,1.636,1.507,1.802,1.647,2.014,2.028,1.834,1.888,1.783,1.82,1.876,2.161,1.767,1.967,1.647,1.908,1.849,1.795,1.921,1.731,2.215,2.066,2.168,2.19,2.075,1.795,2.011,1.863,2.039,2.598,2.305,2.057,2.25,2.153,1.91,1.793,1.773,1.669,1.809,2.59,1.891,1.83,1.858,1.902,2.068,1.944,2.375,2.223,1.906,1.858,1.673,1.84,1.987,2.165,1.969,1.972,1.89,2.246,1.81,1.933,2.178,2.349,1.945,1.945,1.972,1.854,1.868,1.921,2.286,2.034,1.954,1.909,1.786,1.96,1.79,2.019,1.726,1.982,2.02,1.766,2.054,2.429,1.886,1.989,2.053,2.194,1.773,2.313,2.089,1.882,1.985,1.998,1.866,2.008,1.78,1.919,2.274,2.607,2.093,1.944,1.871,1.664,2.711,2.411,2.808,2.511,2.894,2.441,2.816,2.371,2.212,2.525,2.752,2.94,1.085,2.427,2.239,2.532,2.762,2.053,2.938,2.868,2.556,2.593,2.37,2.478,2.909,2.347,2.37,2.192,2.608,2.29,2.844
2.718,2.758,3.862,3.219,3.168,3.108,3.149,2.119,3.687,2.988,3.755,2.521,3.692,3.507,3.081,2.961,2.981,3.021,3.213,3.136,2.915,3.628,2.933,3.187,3.284,3.527,3.198,2.655,2.634,3.177,3.302,2.989,3.025,3.304,3.182,3.475,3.199,3.108,3.377,3.006,3.244,3.137,3.641,3.02,3.632,3.693,3.814,2.945,3.105,3.186,3.287,2.957,3.113,3.037,2.761,3.493,3.097,3.024,2.97,3.03,3.166,2.803,3.041,3.423,2.935,3.096,2.899,2.943,3.602,3.154,3.138,3.194,2.988,3.146,3.127,3.164,2.889,2.984,3.339,3.083,2.786,3.447,2.687,3.007,2.705,2.699,2.449,2.801,3.042,2.472,3.114,2.23,3.111,2.968,2.229,2.948,3.033,3.004,2.889,2.25,2.704,2.779,2.845,2.74,3.261,3.031,2.452,2.234,2.694,3.264,2.831,2.672,3.321,2.923,3.43,2.9,2.689,2.291,2.718,3.238,3.015,3.151,3.302,3.224,2.734,3.365,3.129,3.096,3.446,2.794,3.096,2.934,3.52,2.699,2.424,2.89,3.044,3.033,3.07,3.019,2.873,2.393,2.524,2.813,2.491,3.165,2.866,2.837,2.688,3.07,2.672,3.069,3.029,2.381,3.055,3.253,2.225,2.811,3.146,3.287,3.263,2.46,2.769,2.57,2.719,3.555,3.162,3.176,3.189,3.274,2.504,2.55,2.92,3.292,2.739,2.817,2.292,3.12,2.932,2.493,2.926,2.566,2.488,2.726,2.673,2.574,2.527,2.54,2.729,3.151,2.558,1.534,2.838,1.992,2.11,2.558,2.519,3.35,1.93,1.798,2.822,3.116,2.324,2.445,2.866,2.122,2.385,2.759,2.495,3.051,3.187,2.909
2.951,2.613,2.919,3.465,2.949,2.828,3.081,2.301,3.209,2.876,3.123,2.623,3.1,3.144,2.431,2.744,2.654,2.244,2.534,2.633,2.154,2.672,2.392,2.331,2.45,2.717,2.376,2.296,1.919,2.376,2.672,2.744,2.569,2.625,2.792,2.642,2.729,2.679,2.673,2.48,2.619,2.502,2.685,2.532,2.718,2.657,2.781,2.444,2.481,2.565,2.539,2.476,2.568,2.639,2.613,2.809,2.668,2.442,2.616,2.6,2.491,2.599,2.692,2.445,2.545,2.654,2.639,2.459,2.786,2.646,2.562,2.339,2.666,2.29,2.697,2.586,2.472,2.631,2.273,2.568,2.39,2.76,2.476,2.562,2.616,2.461,2.754,2.625,2.635,2.71,2.649,2.576,2.654,2.526,2.54,2.802,2.726,2.81,2.505,2.757,2.831,2.856,2.721,2.51,2.656,3.011,2.369,2.815,2.897,2.859,2.801,2.87,2.986,2.64,2.61,2.783,2.641,2.718,2.558,2.58,2.814,2.657,2.858,2.768,2.889,2.692,2.692,2.771,2.897,2.659,2.583,2.647,2.889,2.768,2.728,2.747,2.848,2.907,2.734,2.737,3.151,2.791,2.557,2.605,2.757,2.721,2.704,2.486,2.805,2.803,2.595,2.755,2.629,2.652,2.762,2.62,2.564,2.699,2.708,3.045,3.007,2.54,2.593,2.756,2.765,2.76,2.696,2.969,2.737,2.784,2.58,2.642,2.938,2.867,2.527,2.884,2.788,2.824,2.902,2.792,2.572,2.828,2.666,2.78,2.978,2.798,2.354,2.69,2.856,2.784,2.573,3.437,2.746,2.373,2.551,2.788,3.245,2.994,2.272,2.784,2.993,2.912,2.678,2.562,2.85,2.939,2.68,2.884,2.401,2.927,2.787,3.308
2.618,2.728,2.723,3.215,2.751,2.811,2.874,1.145,2.863,2.524,2.842,2.395,2.819,1.978,2.328,2.429,2.582,2.315,2.4,2.362,2.432,2.374,2.358,1.957,2.365,2.312,2.22,2.14,1.789,2.225,2.537,2.463,2.364,2.286,2.446,2.398,2.476,2.447,2.425,2.501,2.325,2.458,2.522,2.203,2.494,2.341,2.664,2.442,2.254,2.449,2.588,2.35,2.417,2.458,2.448,2.492,2.483,2.434,2.479,2.348,2.279,2.424,2.395,2.409,2.398,2.528,2.462,2.436,2.48,2.522,2.294,2.253,2.499,2.255,2.425,2.599,2.293,2.411,2.204,2.211,2.18,2.64,2.304,2.557,2.422,2.589,2.666,2.469,2.489,2.657,2.706,2.481,2.565,2.416,2.715,2.631,2.624,2.765,2.463,2.523,2.612,2.658,2.745,2.618,2.422,2.796,2.227,2.825,2.864,2.92,2.865,2.667,2.862,2.554,2.549,2.63,2.65,2.731,2.67,2.671,2.752,2.75,2.743,2.673,2.778,1.901,2.644,2.931,2.674,2.555,2.511,2.774,2.95,2.606,2.791,2.701,2.624,2.663,2.735,2.708,2.993,2.898,2.634,2.627,2.664,2.617,2.682,2.696,2.829,2.797,2.793,2.757,2.649,2.459,2.621,2.423,2.528,2.673,2.546,2.747,2.92,2.46,2.636,2.736,2.763,2.572,2.624,2.311,2.725,2.78,2.718,2.624,2.883,2.568,2.591,2.877,2.867,2.678,2.7,2.73,2.456,2.128,2.798,2.929,3.028,2.856,2.276,2.829,2.921,2.722,2.788,2.631,3.034,0.89,2.439,2.772,3.104,2.458,1.328,3.045,2.829,2.889,1.852,2.742,2.595,2.684,2.835,3.025,2.397,2.741,2.731,2.846
3.402,2.982,3.001,3.408,3.015,2.925,3.049,2.487,3.195,3.099,3.231,3.109,3.093,2.895,2.719,3.1,2.805,2.497,2.772,2.67,2.557,2.728,2.836,2.915,2.663,2.649,2.535,2.523,2.091,2.61,2.645,2.773,2.558,2.728,2.777,2.602,2.939,2.747,2.848,3.109,2.793,2.759,2.784,2.675,2.733,2.615,2.781,2.492,2.544,2.882,2.801,2.638,2.66,2.658,2.66,2.792,2.811,2.501,2.793,2.552,2.56,2.495,2.735,2.422,2.554,2.843,2.723,2.731,2.861,2.903,2.615,2.679,2.632,2.914,2.611,3.12,2.513,2.687,2.395,2.993,2.693,3.004,2.503,2.859,2.568,2.853,2.859,2.875,2.878,2.729,2.987,2.637,2.698,2.487,2.794,2.969,2.812,2.906,2.713,2.504,3.056,2.797,2.876,2.755,2.759,3.196,2.436,2.726,3.199,3.139,2.798,2.883,3.215,2.756,2.774,3.134,2.863,2.941,2.991,2.855,2.812,2.734,3.121,3.06,2.973,2.291,2.934,3.014,2.951,2.731,2.825,3.055,3.009,2.978,2.841,2.809,2.39,2.892,2.8,2.964,3.371,2.988,2.438,2.706,3.027,2.891,2.836,3.067,2.49,2.973,2.823,2.891,2.963,2.667,2.624,2.63,2.727,2.88,2.761,3.073,3.116,2.434,2.731,2.861,2.923,2.811,2.677,2.251,3.06,2.896,2.889,2.913,3.163,2.852,2.893,2.931,2.746,2.804,3.154,2.989,2.598,2.541,2.468,3.012,2.806,3.03,2.006,2.572,2.927,2.837,2.986,3.106,3.056,2.149,2.139,2.816,3.637,3.032,1.656,3.208,3.071,3.179,2.329,2.886,3.005,2.887,2.778,2.272,2.565,2.954,3.079,3.037
2.778,2.455,2.484,3.052,2.618,2.791,2.969,2.344,2.485,2.492,2.531,2.656,2.298,2.542,2.194,2.556,2.234,2.085,2.176,2.099,2.178,2.192,2.378,2.536,2.214,2.371,2.321,2.001,1.782,2.464,2.133,2.235,2.112,2.118,2.256,2.147,2.285,2.214,2.203,2.595,2.102,2.201,2.434,2.131,2.534,2.25,2.374,2.271,2.427,2.438,2.244,2.333,2.378,2.23,2.157,2.354,2.143,2.02,2.307,2.016,1.998,2.217,2.349,2.135,2.047,2.367,2.365,2.103,2.429,1.953,2.181,2.325,2.117,2.363,2.176,2.726,2.31,1.963,2.283,2.203,1.999,2.283,2.28,2.332,2.598,2.522,2.671,2.313,2.226,2.436,2.517,2.454,2.466,2.299,2.405,2.369,2.335,2.59,2.126,2.316,2.573,2.878,2.581,2.585,2.275,2.842,2.189,2.681,2.574,2.579,2.438,2.357,2.543,2.523,2.149,2.559,2.412,2.271,2.86,2.333,2.686,2.566,2.405,2.249,2.322,2.239,2.269,2.463,2.747,2.135,2.11,2.381,2.574,2.275,2.298,2.179,2.329,2.441,2.529,2.484,2.762,2.615,2.176,2.058,2.456,2.32,2.334,2.832,2.389,2.142,2.448,2.386,2.584,2.488,2.347,2.341,2.53,2.213,2.276,2.415,2.412,2.177,2.586,2.384,2.862,2.279,2.743,2.404,2.511,2.442,2.587,2.385,2.626,2.401,2.417,2.585,3,2.591,2.365,2.552,2.331,3.585,2.802,3.097,3.343,2.866,3.661,2.976,2.657,2.444,2.801,3.405,2.858,1.092,2.674,2.842,3.415,2.7,3.645,3.348,3.243,2.986,2.979,2.845,2.886,3.15,2.964,3.309,2.984,2.996,2.989,2.932
2.163,2.089,2.442,2.554,2.433,2.344,2.408,1.513,2.397,2.237,2.542,1.79,2.362,2.655,1.994,1.986,2.15,1.91,2.139,2.053,2,2.051,2.066,1.832,1.88,2.095,1.919,1.917,1.645,2.071,2.123,2.029,2.07,1.862,2.068,2.09,2.162,2.032,2.088,2.312,2.02,2.134,2.038,1.956,2.218,2.009,2.112,1.846,1.993,2.103,2.171,2.085,2.014,2.089,2.105,2.264,2.113,2.027,2.166,1.955,2.084,2.05,1.981,2.029,1.911,2.067,2.036,2.073,1.988,2.313,2.002,1.932,2.244,1.945,2.037,2.218,2.032,2.143,1.973,1.857,1.916,2.29,1.924,2.124,2.277,2.262,2.191,2.183,2.16,2.064,2.305,1.912,2.227,1.763,2.104,2.208,2.073,2.169,2.049,2.31,2.276,2.465,2.197,2.185,2.072,2.328,2.095,2.367,2.583,2.475,2.238,2.443,2.396,2.208,2.108,2.276,2.274,2.351,2.694,2.251,2.371,2.424,2.393,2.221,2.347,2.203,2.365,2.203,2.215,2.091,2.211,2.267,2.539,2.151,2.16,2.231,2.347,1.946,2.177,2.398,2.602,2.358,2.194,2.046,2.198,2.293,2.295,2.561,2.371,2.253,2.101,2.051,2.191,2.175,2.109,2.161,2.064,2.237,2.201,2.336,2.456,1.862,2.283,2.366,2.312,2.194,2.215,2.255,2.263,2.405,2.388,2.189,2.399,2.217,2.283,2.215,2.5,2.215,2.366,2.182,2.017,2.411,2.607,2.722,2.205,2.622,1.864,2.748,2.863,2.381,2.962,2.684,2.827,1.582,2.001,2.591,2.891,2.736,2.24,3.032,2.801,2.837,2.644,2.556,2.526,2.772,2.461,2.568,2.011,2.779,2.748,2.866
