Age,ICV
0.00,562359.842
0.01,450071.9752
0.01,442452.0063
0.01,358915.9132
0.01,390218.0803
0.01,430024.914
0.01,394566.9655
0.01,393703.7557
0.01,353133.3913
0.01,411656.5213
0.01,580826.9401
0.01,552464.4779
0.01,404434.5298
0.01,453872.9058
0.02,414900.2843
0.02,366273.3049
0.02,469447.6492
0.02,406228.7565
0.02,508293.4113
0.02,460926.234
0.02,379092.219
0.03,402147.6877
0.03,343269.962
0.03,402512.0638
0.03,335473.8515
0.03,377792.3525
0.03,436396.0695
0.03,414852.0435
0.03,521775.6976
0.03,239568.1457
0.03,331216.2035
0.04,652743.7439
0.04,401471.3946
0.04,606417.142
0.04,702333.5239
0.04,605144.867
0.04,313220.4466
0.04,342495.0261
0.04,411518.3191
0.04,421200.7634
0.04,639651.6389
0.04,669631.9777
0.04,485600.5011
0.04,604018.96
0.04,567908.0135
0.05,435925.5459
0.05,434165.4466
0.05,469287.7249
0.05,488786.1752
0.05,546539.5251
0.05,558038.2045
0.05,633152.1762
0.05,662180.7761
0.06,616629.6049
0.06,526878.0257
0.06,478738.6623
0.06,529221.3945
0.06,668084.9754
0.07,415144.2641
0.07,431980.6846
0.07,428452.9189
0.07,470527.4401
0.07,461531.184
0.07,527248.5576
0.08,630127.2441
0.08,619077.1577
0.08,513644.7501
0.08,347493.6128
0.08,500546.4529
0.08,466749.9972
0.09,500206.9861
0.09,553301.841
0.09,544711.5512
0.09,357357.9535
0.09,445416.5163
0.10,459110.5352
0.10,488613.1896
0.10,480642.0101
0.10,567377.1772
0.10,534932.1723
0.10,503577.6711
0.10,587114.0453
0.11,506632.4549
0.11,512309.6366
0.11,523423.8113
0.11,570744.3988
0.12,631062.5417
0.12,452002.7479
0.12,525201.9195
0.12,525631.0038
0.12,528069.8647
0.12,517133.8314
0.13,556509.5757
0.13,459958.314
0.13,582305.4429
0.14,542556.4846
0.14,673765.6359
0.15,408875.7824
0.15,572803.2285
0.15,559833.3061
0.16,565222.7355
0.16,621367.2132
0.16,551662.7317
0.16,823351.7626
0.16,595144.3813
0.17,634276.8385
0.18,641652.5359
0.18,477322.8783
0.19,614632.5252
0.20,677407.3973
0.20,528898.6139
0.20,518698.6708
0.20,683853.8018
0.21,647322.8223
0.21,645741.8905
0.21,342837.2426
0.21,661756.0664
0.22,752419.2525
