path,rh_bankssts_gauscurv,rh_caudalanteriorcingulate_gauscurv,rh_caudalmiddlefrontal_gauscurv,rh_cuneus_gauscurv,rh_entorhinal_gauscurv,rh_fusiform_gauscurv,rh_inferiorparietal_gauscurv,rh_inferiortemporal_gauscurv,rh_isthmuscingulate_gauscurv,rh_lateraloccipital_gauscurv,rh_lateralorbitofrontal_gauscurv,rh_lingual_gauscurv,rh_medialorbitofrontal_gauscurv,rh_middletemporal_gauscurv,rh_parahippocampal_gauscurv,rh_paracentral_gauscurv,rh_parsopercularis_gauscurv,rh_parsorbitalis_gauscurv,rh_parstriangularis_gauscurv,rh_pericalcarine_gauscurv,rh_postcentral_gauscurv,rh_posteriorcingulate_gauscurv,rh_precentral_gauscurv,rh_precuneus_gauscurv,rh_rostralanteriorcingulate_gauscurv,rh_rostralmiddlefrontal_gauscurv,rh_superiorfrontal_gauscurv,rh_superiorparietal_gauscurv,rh_superiortemporal_gauscurv,rh_supramarginal_gauscurv,rh_frontalpole_gauscurv,rh_temporalpole_gauscurv,rh_transversetemporal_gauscurv,rh_insula_gauscurv,BrainSegVolNotVent,eTIV
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50030_MPRAGE,0.022,0.023,0.023,0.038,0.025,0.027,0.027,0.03,0.032,0.034,0.034,0.038,0.03,0.029,0.016,0.02,0.024,0.032,0.027,0.037,0.021,0.021,0.024,0.026,0.031,0.033,0.027,0.023,0.021,0.026,0.053,0.034,0.024,0.033,1230842,1339573.478
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50031_MPRAGE,0.02,0.026,0.026,0.039,0.031,0.036,0.033,0.034,0.036,0.041,0.036,0.047,0.034,0.029,0.047,0.034,0.025,0.046,0.033,0.035,0.037,0.025,0.035,0.028,0.025,0.039,0.033,0.031,0.022,0.035,0.073,0.042,0.065,0.036,1272024,1426483.117
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50032_MPRAGE,0.021,0.017,0.022,0.036,0.022,0.038,0.028,0.035,0.03,0.038,0.037,0.037,0.029,0.028,0.018,0.027,0.023,0.037,0.022,0.037,0.026,0.027,0.026,0.026,0.033,0.033,0.026,0.026,0.025,0.026,0.049,0.034,0.038,0.029,1284205,1323468.476
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50033_MPRAGE,0.017,0.022,0.024,0.04,0.062,0.03,0.03,0.037,0.038,0.041,0.043,0.052,0.04,0.027,0.027,0.027,0.02,0.038,0.033,0.053,0.024,0.033,0.023,0.034,0.031,0.035,0.029,0.028,0.022,0.029,0.044,0.043,0.031,0.035,1207268,1291299.507
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50034_MPRAGE,0.014,0.022,0.024,0.04,0.025,0.031,0.025,0.031,0.029,0.034,0.035,0.044,0.031,0.023,0.024,0.023,0.017,0.028,0.027,0.032,0.023,0.023,0.021,0.025,0.027,0.032,0.024,0.027,0.017,0.025,0.048,0.038,0.042,0.032,1222079,1342466.212
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50035_MPRAGE,0.02,0.02,0.025,0.03,0.042,0.033,0.025,0.027,0.029,0.033,0.044,0.039,0.052,0.027,0.017,0.024,0.02,0.039,0.023,0.032,0.022,0.023,0.022,0.022,0.025,0.033,0.027,0.022,0.02,0.025,0.046,0.033,0.029,0.026,1227986,1272293.9
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50036_MPRAGE,0.023,0.036,0.024,0.039,0.038,0.034,0.032,0.039,0.03,0.038,0.047,0.051,0.049,0.027,0.043,0.027,0.028,0.047,0.03,0.04,0.032,0.028,0.029,0.037,0.037,0.038,0.036,0.035,0.027,0.031,0.062,0.046,0.04,0.032,1171842,1294909.179
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50037_MPRAGE,0.011,0.019,0.022,0.048,0.031,0.029,0.026,0.028,0.024,0.034,0.035,0.041,0.039,0.024,0.019,0.024,0.023,0.033,0.023,0.04,0.021,0.027,0.022,0.028,0.027,0.031,0.029,0.027,0.016,0.03,0.056,0.036,0.03,0.025,1234693,1291250.43
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50038_MPRAGE,0.022,0.025,0.023,0.036,0.046,0.032,0.028,0.033,0.027,0.034,0.039,0.042,0.043,0.031,0.021,0.024,0.022,0.033,0.032,0.041,0.021,0.03,0.022,0.026,0.019,0.035,0.028,0.025,0.021,0.029,0.059,0.045,0.045,0.033,1103888,1090922.912
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50039_MPRAGE,0.017,0.022,0.029,0.036,0.027,0.029,0.027,0.034,0.03,0.039,0.037,0.04,0.036,0.027,0.023,0.029,0.024,0.038,0.026,0.04,0.026,0.028,0.028,0.027,0.03,0.037,0.032,0.03,0.021,0.029,0.069,0.035,0.036,0.027,1205799,1475934.857
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50040_MPRAGE,0.019,0.021,0.024,0.037,0.015,0.03,0.027,0.027,0.024,0.035,0.032,0.037,0.034,0.024,0.016,0.022,0.023,0.031,0.026,0.035,0.024,0.019,0.022,0.025,0.026,0.034,0.024,0.023,0.017,0.025,0.033,0.032,0.027,0.031,1185658,1165558.866
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50041_MPRAGE,0.024,0.023,0.023,0.036,0.024,0.035,0.029,0.035,0.029,0.041,0.041,0.036,0.033,0.032,0.026,0.025,0.022,0.034,0.025,0.038,0.02,0.024,0.023,0.031,0.025,0.031,0.025,0.026,0.021,0.025,0.048,0.054,0.045,0.037,1228514,1304303.18
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50042_MPRAGE,0.018,0.02,0.029,0.038,0.035,0.035,0.03,0.033,0.03,0.039,0.039,0.045,0.036,0.027,0.032,0.023,0.022,0.032,0.023,0.041,0.027,0.029,0.024,0.027,0.041,0.031,0.026,0.024,0.023,0.028,0.038,0.059,0.032,0.034,1141581,1244253.141
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50043_MPRAGE,0.015,0.025,0.023,0.039,0.059,0.028,0.027,0.03,0.03,0.039,0.036,0.039,0.047,0.023,0.033,0.022,0.022,0.029,0.028,0.039,0.023,0.026,0.025,0.024,0.033,0.029,0.027,0.027,0.024,0.023,0.053,0.04,0.032,0.032,1217159,1466369.225
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50044_MPRAGE,0.026,0.023,0.021,0.038,0.038,0.03,0.027,0.031,0.032,0.036,0.04,0.043,0.034,0.024,0.02,0.018,0.019,0.037,0.023,0.04,0.023,0.022,0.023,0.024,0.025,0.031,0.027,0.024,0.024,0.024,0.062,0.034,0.032,0.033,1296990,1376479.487
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50045_MPRAGE,0.018,0.026,0.025,0.038,0.034,0.03,0.028,0.031,0.032,0.038,0.039,0.04,0.043,0.026,0.018,0.027,0.025,0.034,0.027,0.044,0.03,0.029,0.024,0.024,0.034,0.034,0.028,0.027,0.022,0.028,0.041,0.038,0.051,0.039,1440349,1683419.163
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50046_MPRAGE,0.028,0.023,0.023,0.049,0.031,0.033,0.03,0.039,0.032,0.038,0.038,0.036,0.039,0.031,0.02,0.023,0.03,0.034,0.029,0.04,0.024,0.027,0.025,0.028,0.026,0.039,0.029,0.03,0.02,0.03,0.058,0.033,0.037,0.035,1065680,1261884.59
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50047_MPRAGE,0.024,0.028,0.021,0.037,0.025,0.029,0.028,0.029,0.023,0.035,0.038,0.038,0.038,0.024,0.016,0.023,0.021,0.027,0.029,0.037,0.026,0.025,0.023,0.025,0.025,0.031,0.028,0.028,0.021,0.024,0.038,0.059,0.034,0.027,1351136,1477290.835
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50048_MPRAGE,0.017,0.019,0.025,0.042,0.043,0.027,0.03,0.033,0.022,0.035,0.041,0.041,0.036,0.026,0.032,0.02,0.025,0.035,0.03,0.038,0.026,0.025,0.024,0.028,0.034,0.032,0.03,0.027,0.021,0.024,0.058,0.049,0.032,0.037,1122232,1133515.663
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50049_MPRAGE,0.014,0.024,0.029,0.033,0.03,0.03,0.023,0.027,0.031,0.036,0.033,0.035,0.038,0.023,0.029,0.028,0.022,0.031,0.025,0.032,0.02,0.027,0.024,0.023,0.032,0.034,0.029,0.021,0.021,0.027,0.06,0.039,0.08,0.035,1065470,1257933.148
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50050_MPRAGE,0.011,0.017,0.026,0.028,0.023,0.026,0.024,0.026,0.029,0.03,0.032,0.044,0.03,0.022,0.015,0.019,0.021,0.028,0.025,0.036,0.023,0.022,0.024,0.025,0.025,0.028,0.024,0.022,0.019,0.022,0.053,0.034,0.038,0.033,1429952,1395431.915
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50051_MPRAGE,0.018,0.021,0.024,0.033,0.029,0.034,0.025,0.031,0.024,0.035,0.034,0.037,0.035,0.026,0.016,0.02,0.025,0.036,0.026,0.03,0.024,0.025,0.024,0.025,0.031,0.034,0.028,0.023,0.024,0.029,0.054,0.049,0.056,0.037,1379226,1521016.403
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50052_MPRAGE,0.023,0.021,0.024,0.034,0.028,0.024,0.025,0.033,0.026,0.043,0.034,0.038,0.03,0.025,0.031,0.018,0.028,0.04,0.027,0.038,0.021,0.027,0.02,0.027,0.026,0.034,0.026,0.023,0.019,0.025,0.037,0.038,0.05,0.037,1087673,1358576.555
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50054_MPRAGE,0.014,0.024,0.028,0.04,0.044,0.026,0.027,0.032,0.03,0.04,0.033,0.038,0.039,0.025,0.035,0.02,0.033,0.043,0.025,0.038,0.024,0.028,0.025,0.029,0.03,0.037,0.031,0.028,0.019,0.026,0.063,0.036,0.034,0.034,1199927,1405650.28
