"Dataset","Age","lh_bankssts_thickness"
"ABIDE_I","25.12",2.14627128308406
"ABIDE_I","12.92",2.38083629542819
"ABIDE_I","19.8",2.32248109723526
"ABIDE_I","12.15",2.5250079615519
"ABIDE_I","14.77",2.6245550643516
"ABIDE_I","17.36",2.5147099854002
"ABIDE_I","13.28",2.61793960700939
"ABIDE_I","19.16",2.25382792289064
"ABIDE_I","13.95",2.7289289055332
"ABIDE_I","30.66",2.4037206868764
"ABIDE_I","24.6",2.23437619015966
"ABIDE_I","27.92",2.36138456269721
"ABIDE_I","33.17",2.12224267206344
"ABIDE_I","13.78",2.76872673047531
"ABIDE_I","17.13",2.29158716878018
"ABIDE_I","15.7",2.55933454872421
"ABIDE_I","20.65",2.36596144098685
"ABIDE_I","15.35",2.66002587109632
"ABIDE_I","11.81",2.67146806682042
"ABIDE_I","15.82",2.65569885289893
"ABIDE_I","14.37",2.5696325248759
"ABIDE_I","12.83",2.53759437684841
"ABIDE_I","33.24",2.37740363671096
"ABIDE_I","9.44",2.60853599033785
"ABIDE_I","23.1",2.3602403431248
"ABIDE_I","21.22",2.18084773034863
"ABIDE_I","20.34",2.39113427157988
"ABIDE_I","14",3.01823900972173
"ABIDE_I","14",2.86426308956183
"ABIDE_I","16",2.52758439846594
"ABIDE_I","17",2.82404549847529
"ABIDE_I","10",2.77578438917144
"ABIDE_I","21",2.41497514342362
"ABIDE_I","21",2.56895106358352
"ABIDE_I","20",2.32075107287801
"ABIDE_I","13",2.43106217985824
"ABIDE_I","14",3.09867419189482
"ABIDE_I","17",2.76888994498518
"ABIDE_I","15",2.23719425942885
"ABIDE_I","20",2.41185351214754
"ABIDE_I","23",2.52758439846594
"ABIDE_I","15",2.81485290622694
"ABIDE_I","21",2.80221309188546
"ABIDE_I","10.5",2.84128160894095
"ABIDE_I","11.55",3.23886122368219
"ABIDE_I","10.29",2.30811125853653
"ABIDE_I","11.45",2.74246124227117
"ABIDE_I","9.15",3.00674826941129
"ABIDE_I","8.94",2.72982142792968
"ABIDE_I","9.4",2.75510105661265
"ABIDE_I","8.86",2.66432420816017
"ABIDE_I","9.69",2.88379734808958
"ABIDE_I","8.2",2.76199550079892
"ABIDE_I","10.08",2.87230660777914
"ABIDE_I","9.69",2.8137038321959
"ABIDE_I","11.99",2.67351680040853
"ABIDE_I","10.53",2.96423253026266
"ABIDE_I","10.64",2.94354919770387
"ABIDE_I","14.75",2.82822614824065
"ABIDE_I","13.35",2.86255273541296
"ABIDE_I","12.58",2.44720103062799
"ABIDE_I","12.91",2.69892933655827
"ABIDE_I","14.98",2.20805913999422
"ABIDE_I","15.28",2.46550854378656
"ABIDE_I","15.53",2.55361345086216
"ABIDE_I","13.88",2.67146806682042
"ABIDE_I","13.77",2.39138413167214
"ABIDE_I","12.08",2.75156343688915
"ABIDE_I","16.05",2.22979931187002
"ABIDE_I","14.86",2.73668858244782
"ABIDE_I","14.1",2.66942948776786
"ABIDE_I","8.67",2.27124107656905
"ABIDE_I","13.78",2.91200403711886
"ABIDE_I","16.57",2.42202820003496
"ABIDE_I","16.6",2.85797585712332
"ABIDE_I","16.13",2.32591375595249
"ABIDE_I","12.38",2.89598496310511
"ABIDE_I","14.76",2.8671296137026
"ABIDE_I","16.88",2.49207545404425
"ABIDE_I","12.9",2.91747527488866
"ABIDE_I","14.91",2.65087211451704
"ABIDE_I","19.83",2.56276720744144
"ABIDE_I","20.33",2.68977557997899
"ABIDE_I","20.08",2.55704610957939
"ABIDE_I","21.33",2.62798772306883
"ABIDE_I","19.08",2.64515101665499
"ABIDE_I","25.66",2.76643829133049
"ABIDE_I","12.25",2.74469811945469
"ABIDE_I","15.91",2.59938223375857
"ABIDE_I","17.5",2.72639060629612
"ABIDE_I","14.41",2.59366113589652
"ABIDE_I","14.66",2.7904669023511
"ABIDE_I","19.33",2.16343457667022
"ABIDE_I","19.66",2.79161112192351
"ABIDE_I","17.1",2.65544899280668
"ABIDE_I","16.1",2.2389530684493
"ABIDE_I","17.2",2.49296981352441
"ABIDE_I","10.4",2.44376837191076
"ABIDE_I","10.2",2.50441200924851
"ABIDE_I","11",2.76071719346843
"ABIDE_I","17.8",2.65430477323427
"ABIDE_I","14.3",2.49321967361666
"ABIDE_I","11.8",2.60167067290339
"ABIDE_I","13.5",2.39367257081696
"ABIDE_I","18",2.64171835793776
"ABIDE_I","16.1",2.71977514895391
"ABIDE_I","18.2",2.12020409301088
"ABIDE_I","12.6",2.69778511698586
"ABIDE_I","13.8",2.39710522953419
"ABIDE_I","18.2",2.02155134969133
"ABIDE_I","18.9",2.68748714083417
"ABIDE_I","15.6",2.36824988013167
"ABIDE_I","19.2",2.53441157822343
"ABIDE_I","18.9",2.18975162683566
"ABIDE_I","12.4",2.40028802815917
"ABIDE_I","16.8",2.57420940316554
"ABIDE_I","15.5",2.35108658654552
"ABIDE_I","13.1",2.67286214648509
"ABIDE_I","14",2.58475723940949
"ABIDE_I","10.9",2.50097935053128
"ABIDE_I","17.2",2.56759394582333
"ABIDE_I","9.5",2.8616583759328
"ABIDE_I","9.8",2.44147993276594
"ABIDE_I","10.4",2.61654552734473
"ABIDE_I","13.9",2.10050250018765
"ABIDE_I","18.3",2.21517431752094
"ABIDE_I","11.2",2.55704610957939
"ABIDE_I","9.8",2.49640247224164
"ABIDE_I","10.8",2.90145620087491
"ABIDE_I","15.6",2.33163485381454
"ABIDE_I","8.2",2.70350621484792
"ABIDE_I","10.8",2.72066950843407
"ABIDE_I","17.9",2.57420940316554
"ABIDE_I","14.8",2.63967977888519
"ABIDE_I","12.8",2.61768974691714
"ABIDE_I","12.2",2.49869091138646
"ABIDE_I","10.2",2.42202820003496
"ABIDE_I","17.2",2.354769105355
"ABIDE_I","9.7",2.67057370734027
"ABIDE_I","11.6",2.57903614154744
"ABIDE_I","9.2",2.83737990481993
"ABIDE_I","11.5",2.43461461533148
"ABIDE_I","11.6",2.56276720744144
"ABIDE_I","14.3",2.40053788825142
"ABIDE_I","17.4",2.35019222706536
"ABIDE_I","16.5",2.61654552734473
"ABIDE_I","28.8",2.42088398046255
"ABIDE_I","14.4",2.293875607925
"ABIDE_I","17.8",2.60395911204821
"ABIDE_I","17.8",2.36481722141444
"ABIDE_I","14",2.54903657257251
"ABIDE_I","26.8",2.61196864905508
"ABIDE_I","14.5",2.87742758985429
"ABIDE_I","17.2",2.66460274938596
