"Dataset","Age","lh_bankssts_thickness"
"ABIDE_I","25.12",2.235
"ABIDE_I","12.92",2.44
"ABIDE_I","19.8",2.389
"ABIDE_I","12.15",2.566
"ABIDE_I","14.77",2.653
"ABIDE_I","17.36",2.557
"ABIDE_I","13.28",2.645
"ABIDE_I","19.16",2.329
"ABIDE_I","13.95",2.742
"ABIDE_I","30.66",2.46
"ABIDE_I","24.6",2.312
"ABIDE_I","27.92",2.423
"ABIDE_I","33.17",2.214
"ABIDE_I","13.78",2.779
"ABIDE_I","17.13",2.362
"ABIDE_I","15.7",2.596
"ABIDE_I","20.65",2.427
"ABIDE_I","15.35",2.684
"ABIDE_I","11.81",2.694
"ABIDE_I","15.82",2.678
"ABIDE_I","14.37",2.605
"ABIDE_I","12.83",2.577
"ABIDE_I","33.24",2.437
"ABIDE_I","9.44",2.639
"ABIDE_I","23.1",2.422
"ABIDE_I","21.22",2.263
"ABIDE_I","20.34",2.449
"ABIDE_I","14",2.921
"ABIDE_I","14",2.787
"ABIDE_I","16",2.494
"ABIDE_I","17",2.752
"ABIDE_I","10",2.71
"ABIDE_I","21",2.396
"ABIDE_I","21",2.53
"ABIDE_I","20",2.314
"ABIDE_I","13",2.41
"ABIDE_I","14",2.991
"ABIDE_I","17",2.704
"ABIDE_I","15",2.239
"ABIDE_I","20",2.391
"ABIDE_I","23",2.494
"ABIDE_I","15",2.744
"ABIDE_I","21",2.733
"ABIDE_I","10.5",2.767
"ABIDE_I","11.55",3.113
"ABIDE_I","10.29",2.303
"ABIDE_I","11.45",2.681
"ABIDE_I","9.15",2.911
"ABIDE_I","8.94",2.67
"ABIDE_I","9.4",2.692
"ABIDE_I","8.86",2.613
"ABIDE_I","9.69",2.804
"ABIDE_I","8.2",2.698
"ABIDE_I","10.08",2.794
"ABIDE_I","9.69",2.743
"ABIDE_I","11.99",2.621
"ABIDE_I","10.53",2.874
"ABIDE_I","10.64",2.856
"ABIDE_I","14.75",2.831
"ABIDE_I","13.35",2.861
"ABIDE_I","12.58",2.498
"ABIDE_I","12.91",2.718
"ABIDE_I","14.98",2.289
"ABIDE_I","15.28",2.514
"ABIDE_I","15.53",2.591
"ABIDE_I","13.88",2.694
"ABIDE_I","13.77",2.447
"ABIDE_I","12.08",2.764
"ABIDE_I","16.05",2.308
"ABIDE_I","14.86",2.751
"ABIDE_I","14.1",2.69
"ABIDE_I","8.67",2.342
"ABIDE_I","13.78",2.902
"ABIDE_I","16.57",2.476
"ABIDE_I","16.6",2.857
"ABIDE_I","16.13",2.392
"ABIDE_I","12.38",2.888
"ABIDE_I","14.76",2.865
"ABIDE_I","16.88",2.535
"ABIDE_I","12.9",2.909
"ABIDE_I","14.91",2.676
"ABIDE_I","19.83",2.599
"ABIDE_I","20.33",2.71
"ABIDE_I","20.08",2.594
"ABIDE_I","21.33",2.656
"ABIDE_I","19.08",2.671
"ABIDE_I","25.66",2.777
"ABIDE_I","12.25",2.758
"ABIDE_I","15.91",2.631
"ABIDE_I","17.5",2.742
"ABIDE_I","14.41",2.626
"ABIDE_I","14.66",2.798
"ABIDE_I","19.33",2.25
"ABIDE_I","19.66",2.799
"ABIDE_I","17.1",2.68
"ABIDE_I","16.1",2.316
"ABIDE_I","17.2",2.538
"ABIDE_I","10.4",2.495
"ABIDE_I","10.2",2.548
"ABIDE_I","11",2.772
"ABIDE_I","17.8",2.679
"ABIDE_I","14.3",2.536
"ABIDE_I","11.8",2.633
"ABIDE_I","13.5",2.449
"ABIDE_I","18",2.668
"ABIDE_I","16.1",2.734
"ABIDE_I","18.2",2.21
"ABIDE_I","12.6",2.717
"ABIDE_I","13.8",2.452
"ABIDE_I","18.2",2.126
"ABIDE_I","18.9",2.708
"ABIDE_I","15.6",2.429
"ABIDE_I","19.2",2.572
"ABIDE_I","18.9",2.273
"ABIDE_I","12.4",2.457
"ABIDE_I","16.8",2.609
"ABIDE_I","15.5",2.414
"ABIDE_I","13.1",2.693
"ABIDE_I","14",2.616
"ABIDE_I","10.9",2.545
"ABIDE_I","17.2",2.601
"ABIDE_I","9.5",2.858
"ABIDE_I","9.8",2.493
"ABIDE_I","10.4",2.646
"ABIDE_I","13.9",2.195
"ABIDE_I","18.3",2.293
"ABIDE_I","11.2",2.594
"ABIDE_I","9.8",2.541
"ABIDE_I","10.8",2.895
"ABIDE_I","15.6",2.397
"ABIDE_I","8.2",2.722
"ABIDE_I","10.8",2.737
"ABIDE_I","17.9",2.609
"ABIDE_I","14.8",2.664
"ABIDE_I","12.8",2.647
"ABIDE_I","12.2",2.543
"ABIDE_I","10.2",2.476
"ABIDE_I","17.2",2.415
"ABIDE_I","9.7",2.691
"ABIDE_I","11.6",2.611
"ABIDE_I","9.2",2.839
"ABIDE_I","11.5",2.487
"ABIDE_I","11.6",2.599
"ABIDE_I","14.3",2.455
