"Dataset","lh_inferiortemporal_thickness"
"ABIDE_I",2.628
"ABIDE_I",2.662
"ABIDE_I",2.494
"ABIDE_I",2.713
"ABIDE_I",2.69
"ABIDE_I",2.743
"ABIDE_I",2.732
"ABIDE_I",2.681
"ABIDE_I",2.672
"ABIDE_I",2.878
"ABIDE_I",2.434
"ABIDE_I",2.397
"ABIDE_I",2.685
"ABIDE_I",2.756
"ABIDE_I",2.627
"ABIDE_I",2.446
"ABIDE_I",2.606
"ABIDE_I",2.866
"ABIDE_I",2.322
"ABIDE_I",2.829
"ABIDE_I",2.726
"ABIDE_I",2.892
"ABIDE_I",2.44
"ABIDE_I",3.023
"ABIDE_I",2.575
"ABIDE_I",2.603
"ABIDE_I",2.588
"ABIDE_I",3.088
"ABIDE_I",2.739
"ABIDE_I",3.15
"ABIDE_I",2.973
"ABIDE_I",2.437
"ABIDE_I",2.527
"ABIDE_I",2.58
"ABIDE_I",2.436
"ABIDE_I",2.495
"ABIDE_I",2.885
"ABIDE_I",2.835
"ABIDE_I",2.457
"ABIDE_I",2.95
"ABIDE_I",2.716
"ABIDE_I",2.841
"ABIDE_I",2.876
"ABIDE_I",3.093
"ABIDE_I",3.125
"ABIDE_I",2.948
"ABIDE_I",2.917
"ABIDE_I",2.994
"ABIDE_I",2.886
"ABIDE_I",3.057
"ABIDE_I",2.983
"ABIDE_I",2.915
"ABIDE_I",2.887
"ABIDE_I",3.063
"ABIDE_I",2.994
"ABIDE_I",2.941
"ABIDE_I",2.834
"ABIDE_I",2.888
"ABIDE_I",2.986
"ABIDE_I",2.862
"ABIDE_I",2.691
"ABIDE_I",3.062
"ABIDE_I",2.179
"ABIDE_I",2.453
"ABIDE_I",2.971
"ABIDE_I",2.956
"ABIDE_I",2.612
"ABIDE_I",3.005
"ABIDE_I",2.84
"ABIDE_I",2.867
"ABIDE_I",2.714
"ABIDE_I",2.84
"ABIDE_I",2.862
"ABIDE_I",2.531
"ABIDE_I",2.904
"ABIDE_I",2.567
"ABIDE_I",2.858
"ABIDE_I",2.842
"ABIDE_I",2.664
"ABIDE_I",2.727
"ABIDE_I",2.976
"ABIDE_I",2.91
"ABIDE_I",2.768
"ABIDE_I",2.791
"ABIDE_I",2.719
"ABIDE_I",2.644
"ABIDE_I",2.727
"ABIDE_I",2.901
"ABIDE_I",2.812
"ABIDE_I",2.722
"ABIDE_I",2.702
"ABIDE_I",2.874
"ABIDE_I",2.404
"ABIDE_I",2.816
"ABIDE_I",2.649
"ABIDE_I",2.701
"ABIDE_I",2.448
"ABIDE_I",2.54
"ABIDE_I",2.479
"ABIDE_I",2.918
"ABIDE_I",2.668
"ABIDE_I",2.84
"ABIDE_I",2.596
"ABIDE_I",2.267
"ABIDE_I",2.516
"ABIDE_I",2.626
"ABIDE_I",2.428
"ABIDE_I",2.627
"ABIDE_I",2.598
"ABIDE_I",2.462
"ABIDE_I",2.549
"ABIDE_I",2.504
"ABIDE_I",2.318
"ABIDE_I",2.837
"ABIDE_I",2.916
"ABIDE_I",2.721
"ABIDE_I",2.418
"ABIDE_I",2.449
"ABIDE_I",2.623
"ABIDE_I",2.361
"ABIDE_I",2.51
"ABIDE_I",2.745
"ABIDE_I",2.623
"ABIDE_I",2.889
"ABIDE_I",2.657
"ABIDE_I",2.41
"ABIDE_I",2.531
"ABIDE_I",2.753
"ABIDE_I",2.662
"ABIDE_I",2.56
"ABIDE_I",2.698
"ABIDE_I",2.824
"ABIDE_I",2.659
"ABIDE_I",2.595
"ABIDE_I",2.742
"ABIDE_I",2.619
"ABIDE_I",2.542
"ABIDE_I",2.531
"ABIDE_I",2.723
"ABIDE_I",2.591
"ABIDE_I",2.683
"ABIDE_I",2.546
"ABIDE_I",2.717
"ABIDE_I",2.721
"ABIDE_I",2.52
"ABIDE_I",2.422
"ABIDE_I",2.674
"ABIDE_I",2.276
"ABIDE_I",2.67
"ABIDE_I",2.826
"ABIDE_I",2.742
"ABIDE_I",2.517
"ABIDE_I",2.769
