"Dataset","lh_cuneus_gauscurv"
"ABIDE_I",0.039
"ABIDE_I",0.037
"ABIDE_I",0.049
"ABIDE_I",0.041
"ABIDE_I",0.045
"ABIDE_I",0.043
"ABIDE_I",0.047
"ABIDE_I",0.039
"ABIDE_I",0.039
"ABIDE_I",0.037
"ABIDE_I",0.038
"ABIDE_I",0.037
"ABIDE_I",0.041
"ABIDE_I",0.043
"ABIDE_I",0.036
"ABIDE_I",0.038
"ABIDE_I",0.047
"ABIDE_I",0.041
"ABIDE_I",0.037
"ABIDE_I",0.049
"ABIDE_I",0.04
"ABIDE_I",0.041
"ABIDE_I",0.043
"ABIDE_I",0.033
"ABIDE_I",0.041
"ABIDE_I",0.042
"ABIDE_I",0.044
"ABIDE_I",0.036
"ABIDE_I",0.043
"ABIDE_I",0.039
"ABIDE_I",0.037
"ABIDE_I",0.04
"ABIDE_I",0.033
"ABIDE_I",0.04
"ABIDE_I",0.036
"ABIDE_I",0.034
"ABIDE_I",0.034
"ABIDE_I",0.031
"ABIDE_I",0.032
"ABIDE_I",0.038
"ABIDE_I",0.044
"ABIDE_I",0.027
"ABIDE_I",0.042
"ABIDE_I",0.027
"ABIDE_I",0.032
"ABIDE_I",0.033
"ABIDE_I",0.035
"ABIDE_I",0.035
"ABIDE_I",0.034
"ABIDE_I",0.038
"ABIDE_I",0.046
"ABIDE_I",0.048
"ABIDE_I",0.042
"ABIDE_I",0.038
"ABIDE_I",0.04
"ABIDE_I",0.047
"ABIDE_I",0.052
"ABIDE_I",0.047
"ABIDE_I",0.046
"ABIDE_I",0.047
"ABIDE_I",0.043
"ABIDE_I",0.044
"ABIDE_I",0.047
"ABIDE_I",0.05
"ABIDE_I",0.037
"ABIDE_I",0.035
"ABIDE_I",0.048
"ABIDE_I",0.047
"ABIDE_I",0.039
"ABIDE_I",0.042
"ABIDE_I",0.051
"ABIDE_I",0.048
"ABIDE_I",0.043
"ABIDE_I",0.049
"ABIDE_I",0.05
"ABIDE_I",0.044
"ABIDE_I",0.036
"ABIDE_I",0.044
"ABIDE_I",0.04
"ABIDE_I",0.042
"ABIDE_I",0.047
"ABIDE_I",0.049
"ABIDE_I",0.047
"ABIDE_I",0.045
"ABIDE_I",0.049
"ABIDE_I",0.044
"ABIDE_I",0.046
"ABIDE_I",0.041
"ABIDE_I",0.047
"ABIDE_I",0.047
"ABIDE_I",0.045
"ABIDE_I",0.043
"ABIDE_I",0.042
"ABIDE_I",0.041
"ABIDE_I",0.039
"ABIDE_I",0.049
"ABIDE_I",0.04
"ABIDE_I",0.052
"ABIDE_I",0.035
"ABIDE_I",0.042
"ABIDE_I",0.047
"ABIDE_I",0.046
"ABIDE_I",0.037
"ABIDE_I",0.04
"ABIDE_I",0.045
"ABIDE_I",0.042
"ABIDE_I",0.04
"ABIDE_I",0.052
"ABIDE_I",0.043
"ABIDE_I",0.042
"ABIDE_I",0.045
"ABIDE_I",0.052
"ABIDE_I",0.043
"ABIDE_I",0.047
"ABIDE_I",0.048
"ABIDE_I",0.047
"ABIDE_I",0.034
"ABIDE_I",0.034
"ABIDE_I",0.042
