"Dataset","lh_cuneus_thickness"
"ABIDE_I",1.928
"ABIDE_I",1.95
"ABIDE_I",1.606
"ABIDE_I",2.051
"ABIDE_I",1.732
"ABIDE_I",1.946
"ABIDE_I",1.886
"ABIDE_I",1.839
"ABIDE_I",2.014
"ABIDE_I",1.866
"ABIDE_I",1.876
"ABIDE_I",1.769
"ABIDE_I",1.848
"ABIDE_I",1.844
"ABIDE_I",1.783
"ABIDE_I",2.06
"ABIDE_I",1.65
"ABIDE_I",1.888
"ABIDE_I",1.87
"ABIDE_I",2.057
"ABIDE_I",1.839
"ABIDE_I",1.764
"ABIDE_I",1.826
"ABIDE_I",2.006
"ABIDE_I",1.698
"ABIDE_I",1.608
"ABIDE_I",1.867
"ABIDE_I",2.191
"ABIDE_I",1.807
"ABIDE_I",2.003
"ABIDE_I",1.956
"ABIDE_I",1.916
"ABIDE_I",1.842
"ABIDE_I",1.817
"ABIDE_I",1.759
"ABIDE_I",2.158
"ABIDE_I",1.954
"ABIDE_I",1.602
"ABIDE_I",2.015
"ABIDE_I",2.047
"ABIDE_I",1.85
"ABIDE_I",1.793
"ABIDE_I",1.808
"ABIDE_I",1.87
"ABIDE_I",2.205
"ABIDE_I",2.09
"ABIDE_I",1.917
"ABIDE_I",2.01
"ABIDE_I",1.943
"ABIDE_I",2.167
"ABIDE_I",1.913
"ABIDE_I",2.099
"ABIDE_I",2.205
"ABIDE_I",2.163
"ABIDE_I",2.141
"ABIDE_I",2.044
"ABIDE_I",2.189
"ABIDE_I",1.894
"ABIDE_I",2.163
"ABIDE_I",2.223
"ABIDE_I",2.043
"ABIDE_I",2.256
"ABIDE_I",1.936
"ABIDE_I",2.121
"ABIDE_I",2.156
"ABIDE_I",2.157
"ABIDE_I",1.83
"ABIDE_I",2.225
"ABIDE_I",2.089
"ABIDE_I",1.823
"ABIDE_I",1.97
"ABIDE_I",2.086
"ABIDE_I",1.938
"ABIDE_I",1.928
"ABIDE_I",2.177
"ABIDE_I",2.2
"ABIDE_I",2.313
"ABIDE_I",2.105
"ABIDE_I",2.045
"ABIDE_I",1.873
"ABIDE_I",1.718
"ABIDE_I",1.802
"ABIDE_I",1.871
"ABIDE_I",2.008
"ABIDE_I",1.698
"ABIDE_I",1.763
"ABIDE_I",1.975
"ABIDE_I",1.988
"ABIDE_I",1.79
"ABIDE_I",1.995
"ABIDE_I",1.977
"ABIDE_I",1.722
"ABIDE_I",2.05
"ABIDE_I",1.911
"ABIDE_I",1.864
"ABIDE_I",1.864
"ABIDE_I",1.976
"ABIDE_I",2.24
"ABIDE_I",2.087
"ABIDE_I",1.748
"ABIDE_I",2.167
"ABIDE_I",1.818
"ABIDE_I",1.845
"ABIDE_I",1.93
"ABIDE_I",2.059
"ABIDE_I",2.112
"ABIDE_I",1.949
"ABIDE_I",1.784
"ABIDE_I",1.882
"ABIDE_I",2.05
"ABIDE_I",1.97
"ABIDE_I",1.779
"ABIDE_I",2.045
"ABIDE_I",1.933
"ABIDE_I",1.949
"ABIDE_I",1.948
"ABIDE_I",1.869
"ABIDE_I",1.933
"ABIDE_I",2.107
"ABIDE_I",2.04
"ABIDE_I",1.82
"ABIDE_I",2.009
"ABIDE_I",2.274
"ABIDE_I",1.968
"ABIDE_I",2.001
"ABIDE_I",1.68
"ABIDE_I",2.234
"ABIDE_I",1.908
"ABIDE_I",2.051
"ABIDE_I",2.134
"ABIDE_I",1.883
"ABIDE_I",1.805
"ABIDE_I",1.861
"ABIDE_I",2.189
"ABIDE_I",1.942
"ABIDE_I",2.038
"ABIDE_I",2.185
"ABIDE_I",2.115
"ABIDE_I",1.846
"ABIDE_I",1.874
"ABIDE_I",1.8
"ABIDE_I",1.953
"ABIDE_I",1.978
"ABIDE_I",1.815
"ABIDE_I",1.818
"ABIDE_I",2.078
"ABIDE_I",1.845
"ABIDE_I",2.027
"ABIDE_I",1.855
"ABIDE_I",2.003
"ABIDE_I",1.896
"ABIDE_I",1.825
"ABIDE_I",2.065
"ABIDE_I",1.786
"ABIDE_I",1.989
"ABIDE_I",1.682
"ABIDE_I",2.034
"ABIDE_I",1.914
"ABIDE_I",1.881
"ABIDE_I",2.042
"ABIDE_I",1.983
"ABIDE_I",1.995
"ABIDE_I",1.881
"ABIDE_I",1.816
"ABIDE_I",1.714
"ABIDE_I",1.973
"ABIDE_I",2.194
"ABIDE_I",1.986
"ABIDE_I",2.023
"ABIDE_I",2.035
"ABIDE_I",1.907
"ABIDE_I",2.134
"ABIDE_I",2.049
"ABIDE_I",2.14
"ABIDE_I",1.922
"ABIDE_I",2.026
"ABIDE_I",1.932
"ABIDE_I",1.978
"ABIDE_I",1.936
"ABIDE_I",1.794
"ABIDE_I",2.079
"ABIDE_I",2.163
"ABIDE_I",1.848
"ABIDE_I",1.886
"ABIDE_I",2.051
"ABIDE_I",2.161
"ABIDE_I",2.299
"ABIDE_I",2.052
"ABIDE_I",1.963
"ABIDE_I",1.962
"ABIDE_I",1.76
"ABIDE_I",1.924
"ABIDE_I",2.085
"ABIDE_I",2.112
"ABIDE_I",2.099
"ABIDE_I",1.803
"ABIDE_I",2.039
"ABIDE_I",1.858
"ABIDE_I",1.637
"ABIDE_I",1.742
"ABIDE_I",1.927
"ABIDE_I",1.807
"ABIDE_I",2.159
"ABIDE_I",1.924
"ABIDE_I",1.745
"ABIDE_I",2.012
"ABIDE_I",2.144
"ABIDE_I",2.1
"ABIDE_I",1.875
"ABIDE_I",1.952
"ABIDE_I",1.95
"ABIDE_I",2.197
"ABIDE_I",2.055
"ABIDE_I",2.052
"ABIDE_I",1.851
"ABIDE_I",1.994
"ABIDE_I",2.132
"ABIDE_I",1.917
"ABIDE_I",1.796
"ABIDE_I",1.81
"ABIDE_I",1.838
"ABIDE_I",1.941
"ABIDE_I",2.049
"ABIDE_I",1.932
"ABIDE_I",1.829
"ABIDE_I",1.854
"ABIDE_I",1.718
"ABIDE_I",1.937
"ABIDE_I",1.848
"ABIDE_I",1.948
"ABIDE_I",2.043
"ABIDE_I",1.977
"ABIDE_I",2.182
"ABIDE_I",2.05
"ABIDE_I",2.166
"ABIDE_I",1.807
"ABIDE_I",2.035
"ABIDE_I",1.863
"ABIDE_I",1.668
"ABIDE_I",2.051
"ABIDE_I",1.741
"ABIDE_I",1.794
"ABIDE_I",1.751
"ABIDE_I",1.823
"ABIDE_I",1.778
"ABIDE_I",2.077
"ABIDE_I",1.944
"ABIDE_I",1.695
"ABIDE_I",1.815
"ABIDE_I",1.917
"ABIDE_I",1.89
"ABIDE_I",1.858
"ABIDE_I",1.731
"ABIDE_I",1.989
"ABIDE_I",1.852
"ABIDE_I",1.815
"ABIDE_I",1.986
"ABIDE_I",1.888
"ABIDE_I",1.799
"ABIDE_I",1.805
"ABIDE_I",2.051
"ABIDE_I",1.972
"ABIDE_I",1.794
"ABIDE_I",2.031
"ABIDE_I",2.039
"ABIDE_I",2.134
"ABIDE_I",1.855
"ABIDE_I",1.873
"ABIDE_I",2.237
"ABIDE_I",2.031
"ABIDE_I",1.937
"ABIDE_I",1.817
"ABIDE_I",2.013
"ABIDE_I",1.977
"ABIDE_I",1.939
"ABIDE_I",2.228
"ABIDE_I",2.032
"ABIDE_I",2.07
"ABIDE_I",2.237
"ABIDE_I",2.039
"ABIDE_I",2.294
"ABIDE_I",2.155
"ABIDE_I",2.257
"ABIDE_I",2.151
"ABIDE_I",1.954
"ABIDE_I",2.226
"ABIDE_I",2.213
"ABIDE_I",2.234
"ABIDE_I",2.293
"ABIDE_I",2.15
"ABIDE_I",2.248
"ABIDE_I",2.071
"ABIDE_I",2.216
"ABIDE_I",2.279
"ABIDE_I",2.164
"ABIDE_I",2.006
"ABIDE_I",2.11
"ABIDE_I",1.942
"ABIDE_I",2.037
"ABIDE_I",2.048
"ABIDE_I",2.169
"ABIDE_I",2.305
"ABIDE_I",1.919
"ABIDE_I",2.191
